Video Caption,Comment
"Beijing Olympics Sponsor gifts - (Samsung, Oakley, Coca Cola etc.) Vlog 3",I am so excited to hear your story and I wish I were there. Enjoy everything and good luck to your competition.
"Beijing Olympics Sponsor gifts - (Samsung, Oakley, Coca Cola etc.) Vlog 3",Thank you for your vlog so happy you are enjoying things at my home country lol
"Beijing Olympics Sponsor gifts - (Samsung, Oakley, Coca Cola etc.) Vlog 3",👍👍👍🌹🌹🌹💪💪💪❤❤❤
"Beijing Olympics Sponsor gifts - (Samsung, Oakley, Coca Cola etc.) Vlog 3",So much information regular media missed talking about👍🏻
"Beijing Olympics Sponsor gifts - (Samsung, Oakley, Coca Cola etc.) Vlog 3",👍🏻👍🏻
"Beijing Olympics Sponsor gifts - (Samsung, Oakley, Coca Cola etc.) Vlog 3",Enjoy your time there brother!
"Beijing Olympics Sponsor gifts - (Samsung, Oakley, Coca Cola etc.) Vlog 3","Thank you Viktor for Sharing your own experience at Beijing winter Olympic 2022. So glad to know you are having great time so far at my hometown. I have followed the event and watched lots of videos everyday from various media on TV and on YT but still finding your vlogs are very interesting as there are many fun details has been randomly picked and shown to us while you are talking, such as gashapon machine ! Never know they had this there! Hope you and your fiancée will carry on enjoying the rest time in Beijing and Best luck for your future competition!"
"Beijing Olympics Sponsor gifts - (Samsung, Oakley, Coca Cola etc.) Vlog 3",👍
"Beijing Olympics Sponsor gifts - (Samsung, Oakley, Coca Cola etc.) Vlog 3",Wow ! Good to see  all the free stuff.
"Beijing Olympics Sponsor gifts - (Samsung, Oakley, Coca Cola etc.) Vlog 3",Genocide games… no word on the issues other athletes have ?
"Beijing Olympics Sponsor gifts - (Samsung, Oakley, Coca Cola etc.) Vlog 3",The Samsung phone edition will be worth a fortune is you put it on audition.
"Beijing Olympics Sponsor gifts - (Samsung, Oakley, Coca Cola etc.) Vlog 3","In 1980 at Lake Placid I was able to trade a lot of my Olympic gear with athletes from other countries.  I have some great USSR warm up suit and a USSR participation medal, Traded my Opening/Closing Ceremony jacket with a Canadian for their great Hudson Bay jacket.  Lots of great stuff.  But I have to admit todays athletes get a lot more loot."
"Beijing Olympics Sponsor gifts - (Samsung, Oakley, Coca Cola etc.) Vlog 3",Thank you for your sharing time and detail inside the Olympic
"Beijing Olympics Sponsor gifts - (Samsung, Oakley, Coca Cola etc.) Vlog 3","don't ever listen to those fake news from CNN FOX BBC. wish you have a great time in Beijing, my hometown."
"Beijing Olympics Sponsor gifts - (Samsung, Oakley, Coca Cola etc.) Vlog 3","Auction phone?  Where, when?  Thanks for this video!"
"Beijing Olympics Sponsor gifts - (Samsung, Oakley, Coca Cola etc.) Vlog 3",Really happy to see that you could still enjoy yourself despite some restrictions. Really thank you for sharing your experience during the Olympics. Wish you good luck at the games and a nice time there. Good luck! Please keep up the good work.
"Beijing Olympics Sponsor gifts - (Samsung, Oakley, Coca Cola etc.) Vlog 3","Hey Viktor, welcome to China. I hope you and your fiancé have a wonderful time in Beijing, and good luck with the game."
"Beijing Olympics Sponsor gifts - (Samsung, Oakley, Coca Cola etc.) Vlog 3",Enjoying all the natural & spontaneous interactions from China on here. 🔥😍
"Beijing Olympics Sponsor gifts - (Samsung, Oakley, Coca Cola etc.) Vlog 3","You keep the samsung phone, the viewer pay for your empty bid."
"Beijing Olympics Sponsor gifts - (Samsung, Oakley, Coca Cola etc.) Vlog 3",字幕咋是韩文啊？
