Video Caption,Comment
The Secret Dentist at the Olympics | Olympic Vlog,When Koreans do something we never mess around we rock it trust me mate
The Secret Dentist at the Olympics | Olympic Vlog,They were singing the birthday song
The Secret Dentist at the Olympics | Olympic Vlog,Hi! The Swedes behind you are singing happy birthday :))
The Secret Dentist at the Olympics | Olympic Vlog,3:45 basically how we sing happy birthday in swedish! Wishing the person to live up to 100 years lol
The Secret Dentist at the Olympics | Olympic Vlog,"Another great video, just sub'ed. That is awesome that they provided you guy's with dental care. How is your forehead? looks like you got a small knot."
The Secret Dentist at the Olympics | Olympic Vlog,they are singing happy birthday in swedish
The Secret Dentist at the Olympics | Olympic Vlog,Canada prob colder?
The Secret Dentist at the Olympics | Olympic Vlog,the Swedish people were singing the Swedish​  happy birthday song
The Secret Dentist at the Olympics | Olympic Vlog,this is great keep it up good luck
The Secret Dentist at the Olympics | Olympic Vlog,The sweds sang Happy birthday
The Secret Dentist at the Olympics | Olympic Vlog,Nice vlogg!  Keep up the great work
The Secret Dentist at the Olympics | Olympic Vlog,Last 5sec is the best 🎉 마지막 5초x3
The Secret Dentist at the Olympics | Olympic Vlog,"You are gonna upload videos after PyeongChang right?
Hope so!👍"
The Secret Dentist at the Olympics | Olympic Vlog,"hey, your channel name is not even searchable in youtube because of the dots."
The Secret Dentist at the Olympics | Olympic Vlog,great! dentist care is free.
The Secret Dentist at the Olympics | Olympic Vlog,i think u can also thank the olympics for the influx of viewers too. that's why i started watching u ^^
The Secret Dentist at the Olympics | Olympic Vlog,"Yes, they are singing a birthday song (I think), it's similar to the birthday song in Dutch and Flemish."
The Secret Dentist at the Olympics | Olympic Vlog,Dentist so cute
The Secret Dentist at the Olympics | Olympic Vlog,Thank you very much for sharing this interesting clip on Youtube :) Hope you have a wonderful time in Korea!
The Secret Dentist at the Olympics | Olympic Vlog,Thank you for your vedio⛄
