Video Caption,Comment
The Olympics next! First time editing my own vlog :),bra jobba! og nice music choice :)
The Olympics next! First time editing my own vlog :),"Йоханнес Клебо суперспортсмен!
Желаем Вам, Йоханнес Клебо и всей сборной Норвегии успехов, ещё золотых медалей на Олимпиаде 2022🥇🥇🥇🥇🥇🥇🥇🥇🥇🥇🥇🥇🥇🥇!"
The Olympics next! First time editing my own vlog :),Collabs with norwegian athletes from other sports like Magnus Midtbo would be awesome
The Olympics next! First time editing my own vlog :),Russian 🤟🤟🤟 good bai clèbo😅😅💉💉💉💉💉💉🤪🤪🤪
The Olympics next! First time editing my own vlog :),Ладно хоть не рухнули как в биатлоне сегодня. Вот ведь как тяжело без допинга😅🤣😂😛😋🥵
The Olympics next! First time editing my own vlog :),"Надо быть не только достойным соперником, но и честным. Я думаю понял о чем я. Сегодня все встали на свои места. Терапевтичекие исключения в Китае не рулят. Вам самим не смешно, всё и всем давно уже понятно с вашей астмой. Из всех норвежцов вы наверное самый сильный."
The Olympics next! First time editing my own vlog :),Flere videoer av deg og Pernille dere er så søte sammen ❤️
The Olympics next! First time editing my own vlog :),Bravooooo!! Johannes!!👍👍 You are The Champion!! Again!!
The Olympics next! First time editing my own vlog :),Желаю классному парню и лыжному вундеркинду развить на лыжах в Пекине космическую скорость и снова быть олимпийским чемпионом
The Olympics next! First time editing my own vlog :),Это жопа🤷🏻‍♂️
The Olympics next! First time editing my own vlog :),Nydelig video😀 Lykke til i OL🏅
The Olympics next! First time editing my own vlog :),Superbra vlogg Johannes!! Lycka till i OS
The Olympics next! First time editing my own vlog :),Superbra vlogg Johannes!! Lycka till i OS
The Olympics next! First time editing my own vlog :),"Johannes, you did such a great job! That is just unbelievable how much effort you have put into this episode, and it really turned out great! Stylish music by the way)) it incorporated so well into the video))"
The Olympics next! First time editing my own vlog :),Good to see you in this vlog. You inspired a young generation of cross country skier. Nic and JF from Québec X x
The Olympics next! First time editing my own vlog :),ТЫ делай субтитры на русском.. ни хера не понятно что т там лопочешь
The Olympics next! First time editing my own vlog :),"Fin video .. 
Lycka till i OS tävlingarna."
The Olympics next! First time editing my own vlog :),Позитивный человек. Буду болеть за тебя на Олимпиаде.
The Olympics next! First time editing my own vlog :),удачи тебе! ты все сможешь
