Video Caption,Comment
MADE IT TO BEIJING 2022 - CHECK OUT HOW THE OLYMPIC VILLAGE LOOKS LIKE,Thanks a lot for all these Feedbacks! I will upload in the end of this week another vlog about the olympic village. There I also want to show you a bit of the dining hall.
MADE IT TO BEIJING 2022 - CHECK OUT HOW THE OLYMPIC VILLAGE LOOKS LIKE,"Thanks for sharing, everything looks so nice in the Olympic village,"
MADE IT TO BEIJING 2022 - CHECK OUT HOW THE OLYMPIC VILLAGE LOOKS LIKE,"To be honest, we don't give a damn about the BBC spreading rumors like that, because they will only make themselves worse and worse, and maybe when they really understand the results of doing so, it will be too late，Good luck and have fun in Beijing"
MADE IT TO BEIJING 2022 - CHECK OUT HOW THE OLYMPIC VILLAGE LOOKS LIKE,Quiet nice village
MADE IT TO BEIJING 2022 - CHECK OUT HOW THE OLYMPIC VILLAGE LOOKS LIKE,"it's amazing to watch about the 'Olympics' from different angles,  
thank you !   💐"
MADE IT TO BEIJING 2022 - CHECK OUT HOW THE OLYMPIC VILLAGE LOOKS LIKE,"I never envy Olympic athletes until now, what a memorable experience of a lifetime!  Thank you for showing the world -- the real China!  The anti-china sentiment from USA is so sad and sickening.  USA, a sore loser!"
MADE IT TO BEIJING 2022 - CHECK OUT HOW THE OLYMPIC VILLAGE LOOKS LIKE,"Virus free in Beijing, because no India athletic. Delta omicron around the word right now. Take care"
MADE IT TO BEIJING 2022 - CHECK OUT HOW THE OLYMPIC VILLAGE LOOKS LIKE,"Hey great video good luck at the games! Could you do a vlog of  ""day in the life of an Olympic athlete""? And maybe a few clips when the closing ceremony takes place? Would love to see more ☺️"
MADE IT TO BEIJING 2022 - CHECK OUT HOW THE OLYMPIC VILLAGE LOOKS LIKE,Blue sky wow 👌.... unlike what we see on the mainstream media
MADE IT TO BEIJING 2022 - CHECK OUT HOW THE OLYMPIC VILLAGE LOOKS LIKE,welcome to beijing！😁
MADE IT TO BEIJING 2022 - CHECK OUT HOW THE OLYMPIC VILLAGE LOOKS LIKE,Thanks for sharing this with us. Good luck in the Games.
MADE IT TO BEIJING 2022 - CHECK OUT HOW THE OLYMPIC VILLAGE LOOKS LIKE,What a nice video. Would like to visit China.
MADE IT TO BEIJING 2022 - CHECK OUT HOW THE OLYMPIC VILLAGE LOOKS LIKE,Apartment looks nice
MADE IT TO BEIJING 2022 - CHECK OUT HOW THE OLYMPIC VILLAGE LOOKS LIKE,Thank you!  Wish you have shown us the remote controlled Zero-G bed.  LOL 😀
MADE IT TO BEIJING 2022 - CHECK OUT HOW THE OLYMPIC VILLAGE LOOKS LIKE,welcome to China!
MADE IT TO BEIJING 2022 - CHECK OUT HOW THE OLYMPIC VILLAGE LOOKS LIKE,"Welcome to China, enjoy and experience Chinese tradition ~ good luck🥰"
MADE IT TO BEIJING 2022 - CHECK OUT HOW THE OLYMPIC VILLAGE LOOKS LIKE,You can have your head more shiny instead of haircut.
MADE IT TO BEIJING 2022 - CHECK OUT HOW THE OLYMPIC VILLAGE LOOKS LIKE,Binge watching these types of vids lmao
MADE IT TO BEIJING 2022 - CHECK OUT HOW THE OLYMPIC VILLAGE LOOKS LIKE,"Wow, really well-made video, have fun in Beijing!"
MADE IT TO BEIJING 2022 - CHECK OUT HOW THE OLYMPIC VILLAGE LOOKS LIKE,"I miss my hometown already, have fun out there man👍"
