Video Caption,Comment
Beijing22 Winter Olympics Hotel!,"Here is truth in Olympics On Beijing:
https://www.youtube.com/watch?v=tNVUqyeJklw"
Beijing22 Winter Olympics Hotel!,"This is real China. We are living here as normal citizens, no worried of food, water and COVID-19."
Beijing22 Winter Olympics Hotel!,Welcome to Beijing and enjoy your pleasure
Beijing22 Winter Olympics Hotel!,当一个人的绯闻越来越多的时候，就说明他红了
Beijing22 Winter Olympics Hotel!,I'm hungry just looking at the food!
Beijing22 Winter Olympics Hotel!,China is now a brand of high-tech and comfort
Beijing22 Winter Olympics Hotel!,Welcome to China！
Beijing22 Winter Olympics Hotel!,"BBC & CNN: the bee is actually the AI spy to monitor every single momvement of the athletes in the bus, and the bee was FORCED TO WORK BY CCP!!!!!!!!!!!!!!!!"
Beijing22 Winter Olympics Hotel!,"made in china= illegal copy, cheap imitations,covid19, child abuse , fake food 🤮🤮🤮🤮🤮🤮🤮"
Beijing22 Winter Olympics Hotel!,lfmao koreans complain about no KIMCHIKIMCHIKIMCHIKIMCHIKIMCHIKIMCHIKIMCHIKIMCHIKIMCHIKIMCHI
Beijing22 Winter Olympics Hotel!,Remember that human rights in China are worse than you think.
Beijing22 Winter Olympics Hotel!,Ccp at it again.
Beijing22 Winter Olympics Hotel!,😲😲👍👍
Beijing22 Winter Olympics Hotel!,Welcome to China
Beijing22 Winter Olympics Hotel!,nice bro greeting from indonesia
Beijing22 Winter Olympics Hotel!,STOP UIGHUR GENOCIDE
Beijing22 Winter Olympics Hotel!,It should be Zhangjiakou 😂👍
Beijing22 Winter Olympics Hotel!,"Thanks for the great video to show the real condition of the Beijing Olympics from an athlete angle~When the western athlete said she was a bit hungry after the competition, western media: no food in Beijing Olympics and athletes cry every day...Jesus, anyway hope you enjoy the rest of the game and have fun~~"
Beijing22 Winter Olympics Hotel!,Welcome to Beijing I was in Beijing on 2008. Now I am working in London and I couldn’t come back to meet my family in Beijing due to the pandemic. Enjoy your game. Go for it!
Beijing22 Winter Olympics Hotel!,Welcome to China! Hope you have a wonderful trip!
