Video Caption,Comment
Beijing Winter Olympics 2022 Preview | 北京2022年奥运会 | China Cities Beijing,Good good good good good good good good good good
Beijing Winter Olympics 2022 Preview | 北京2022年奥运会 | China Cities Beijing,how many days of snow per year in Beijing? 2?
Beijing Winter Olympics 2022 Preview | 北京2022年奥运会 | China Cities Beijing,J
Beijing Winter Olympics 2022 Preview | 北京2022年奥运会 | China Cities Beijing,"DO TO THE ABSOLUTE FACT THAT CHINA REFUSES TO ACKNOWLEDGE THAT THE INTENTIONALLY IGNORE INTERNATIONAL LAW AROUND THE WORLD; THEY HAVE NO BUSINESS IN THE WORLD BEING ABLE TO HOST ANY LEVEL OF THE INTERNATIONAL COMMUNITY WHATSOEVER !!! THEY DO NOT DESERVE THE HONOR TO DO SO ...
BUY AMERICAN !!!
BOYCOTT CHINESE WINTER 
            OLYMPICS !!!"
Beijing Winter Olympics 2022 Preview | 北京2022年奥运会 | China Cities Beijing,"""A regime based on forced labor and mass enslavement; a regime that prepares for war and exists only through lying propaganda, how can such a regime respect peaceful sports and free sportsmen? Believe me, those of the international sportsmen who go to Berlin will be there nothing but gladiators, prisoners and fun-makers of a dictator who already feels himself master of this world.""

- Heinrich Mann: Conference in Defense of the Olympic Idea, June 6 and 7, 1936, Paris."
Beijing Winter Olympics 2022 Preview | 北京2022年奥运会 | China Cities Beijing,Look forward another spectacular grand opening ceremony to triumph over the pandemic desolation that shadowing us for the past 2 years
Beijing Winter Olympics 2022 Preview | 北京2022年奥运会 | China Cities Beijing,"Cyrus, the western media's anti-China bias is as strong as ever.  Even China winning gold medals in Tokyo is disparaged by the New York Times.  Google: china, ""the most gold at any cost"".  No congratulations here, just a lot of vitriol."
Beijing Winter Olympics 2022 Preview | 北京2022年奥运会 | China Cities Beijing,"Cyrus, the western media's anti-China bias is as strong as ever.  Even China winning gold medals in Tokyo is disparaged by the New York Times.  Google: china, ""the most gold at any cost"".  No congratulations here, just a lot of vitriol."
Beijing Winter Olympics 2022 Preview | 北京2022年奥运会 | China Cities Beijing,中国加油！中国共产党万岁
Beijing Winter Olympics 2022 Preview | 北京2022年奥运会 | China Cities Beijing,All freedom loving countries must boycott the genocide Olympics in 2022.
Beijing Winter Olympics 2022 Preview | 北京2022年奥运会 | China Cities Beijing,https://youtu.be/z37XQA4XbTA
Beijing Winter Olympics 2022 Preview | 北京2022年奥运会 | China Cities Beijing,I will not support the Beijing Olympics. Any country which engages in slavery and genocide deserves neither support or attention.
Beijing Winter Olympics 2022 Preview | 北京2022年奥运会 | China Cities Beijing,https://youtu.be/z37XQA4XbTA
Beijing Winter Olympics 2022 Preview | 北京2022年奥运会 | China Cities Beijing,"China a.k.a. chinese communist party have killed tens of millions in its many campaigns, guilty of endless crimes against humanity with genocide topping the list, even today they profit off executing christians, Falun Gong and muslims for their organ transplant industry which rakes in billions.....the nations of the world should all boycott the winter olympics for all the evil deeds of the ccp."
Beijing Winter Olympics 2022 Preview | 北京2022年奥运会 | China Cities Beijing,"OK. Let our Chinese brothers do what they must do. If they think they can control Europe or America, or the world in decline and RULE THE WORLD, they will be only making the same stupid mistake as Japan.  And that goes for you too Putin the dictator of evil."
Beijing Winter Olympics 2022 Preview | 北京2022年奥运会 | China Cities Beijing,Boycott Beijing 2022 Olympics
Beijing Winter Olympics 2022 Preview | 北京2022年奥运会 | China Cities Beijing,"I am very disappointed that the Olympics have been awarded to China. I wonder what it cost China in bribes? However, all is not lost. All DEMOCRATIC nations must BOYCOTT these games. Chaina is a VICIOUS, BRUTAL, INHUMANE, ANTI DEMOCRATIC, DESPOTIC REGIME that has little regard for the rights of individuals. WARNING! Under Chinese Law, YOU can be arrested for any PAST comment or action that they deem offensive. YOU   ARE  NOT  SAFE IN CHINA! BOYCOTT trading in GOODS AND SERVICES with China! TRADE WITH TAIWAN! I say PLUCK YOU CHINA and PLUK THE OLYMPIC COMMITTEE!"
Beijing Winter Olympics 2022 Preview | 北京2022年奥运会 | China Cities Beijing,"Maybe the All-Star baseball teams should play in Beijing and NOT in the State of Georgia, USA, cause China does not have anything controversial like Nazi style camps??"
Beijing Winter Olympics 2022 Preview | 北京2022年奥运会 | China Cities Beijing,But isn’t China a bit too irresponsible with their deadly viruses to host an Olympic event. 👺
Beijing Winter Olympics 2022 Preview | 北京2022年奥运会 | China Cities Beijing,你的声音真的让人着迷
