Video Caption,Comment
#Beijing2022 Olympic Flame Lighting Ceremony! 🔥 LIVE,"Looks like a cult, but amazing"
#Beijing2022 Olympic Flame Lighting Ceremony! 🔥 LIVE,Chinese hit it off the planet. The Greeks moved the heavens and the earth.
#Beijing2022 Olympic Flame Lighting Ceremony! 🔥 LIVE,Outfits of the presidential guard is a justifiable reason for the desertion.
#Beijing2022 Olympic Flame Lighting Ceremony! 🔥 LIVE,Anyone gonna talk about the death camps?
#Beijing2022 Olympic Flame Lighting Ceremony! 🔥 LIVE,This is so awesome and I never saw this part of the Olympics on tv except on YouTube I would like to see this in person someday
#Beijing2022 Olympic Flame Lighting Ceremony! 🔥 LIVE,"I love those dresses
Very cool ceremony"
#Beijing2022 Olympic Flame Lighting Ceremony! 🔥 LIVE,BS satanic rituals
#Beijing2022 Olympic Flame Lighting Ceremony! 🔥 LIVE,"No captions? ""Stronger Together?""
Obviously doesn't include the DEAF!
Booooooo! 👎"
#Beijing2022 Olympic Flame Lighting Ceremony! 🔥 LIVE,"All you digusting LIBERALS who support ""Equal rights"" and are watching the Olympics should be disgusting and ashamed of yourselves."
#Beijing2022 Olympic Flame Lighting Ceremony! 🔥 LIVE,123
#Beijing2022 Olympic Flame Lighting Ceremony! 🔥 LIVE,Greek mythology/lore brought to life.  Definitely an educational experience in a short period of time…
#Beijing2022 Olympic Flame Lighting Ceremony! 🔥 LIVE,DDRR
#Beijing2022 Olympic Flame Lighting Ceremony! 🔥 LIVE,Never saw this part of the Olympic ceremony before. Everyone did a wonderful job. Thanks for the coverage.
#Beijing2022 Olympic Flame Lighting Ceremony! 🔥 LIVE,"All this to put a tiny flame in the middle of a snowflake. Appreciate this ceremony,just wish the Chinese would have put the flame in proper cauldron"
#Beijing2022 Olympic Flame Lighting Ceremony! 🔥 LIVE,This is beautiful!
#Beijing2022 Olympic Flame Lighting Ceremony! 🔥 LIVE,I'm not even going to watch any of it because of that Evil place 👹
#Beijing2022 Olympic Flame Lighting Ceremony! 🔥 LIVE,"Beijing 2008: Look at our cauldron lightning!
Khan-Baliq 2022: Hold my Olympic caldera. I mean yes you too, can hold it, just _hold it~_"
#Beijing2022 Olympic Flame Lighting Ceremony! 🔥 LIVE,This Olympics feels like Berlin 1933
#Beijing2022 Olympic Flame Lighting Ceremony! 🔥 LIVE,Great video and education!!!!   Thanks for sharing!!!!
#Beijing2022 Olympic Flame Lighting Ceremony! 🔥 LIVE,covid= China Origin Virulent Infectious Disease
