Video Caption,Comment
Beijing 2022| Tour of Beijing Olympic Village | Details of smart bed 北京冬奥村 vlog| Winter Olympics,Who cleans the rooms? The athletes?
Beijing 2022| Tour of Beijing Olympic Village | Details of smart bed 北京冬奥村 vlog| Winter Olympics,🇺🇸🇺🇸🇺🇸😘😘😘😘
Beijing 2022| Tour of Beijing Olympic Village | Details of smart bed 北京冬奥村 vlog| Winter Olympics,"Support and Good Job !   Bravo to China Rise Peacefully and be Strong ! !   Go China, Go ! ! !"
Beijing 2022| Tour of Beijing Olympic Village | Details of smart bed 北京冬奥村 vlog| Winter Olympics,china is origin of covid19!!!! shame on you china!!!
Beijing 2022| Tour of Beijing Olympic Village | Details of smart bed 北京冬奥村 vlog| Winter Olympics,"100 metres sprint race at the first Modern Olympic Games, Athens, 1896
https://www.youtube.com/watch?v=IRTeOyf2KLI"
Beijing 2022| Tour of Beijing Olympic Village | Details of smart bed 北京冬奥村 vlog| Winter Olympics,All the best
Beijing 2022| Tour of Beijing Olympic Village | Details of smart bed 北京冬奥村 vlog| Winter Olympics,Best ever again.
Beijing 2022| Tour of Beijing Olympic Village | Details of smart bed 北京冬奥村 vlog| Winter Olympics,God bless Beijing. God bless China 🇨🇳 .God bless Winter Olympics. 🙌
Beijing 2022| Tour of Beijing Olympic Village | Details of smart bed 北京冬奥村 vlog| Winter Olympics,"Just curious how they are going to bring in peng shuai for a visit. Waving from a car window, looking from a window surrounded by minders, let loose in the crowd knowing the parents are at home on notice."
Beijing 2022| Tour of Beijing Olympic Village | Details of smart bed 北京冬奥村 vlog| Winter Olympics,I would love to sleep on the magic bed!
Beijing 2022| Tour of Beijing Olympic Village | Details of smart bed 北京冬奥村 vlog| Winter Olympics,Such a shame to host winter Olympics. No human rights.
Beijing 2022| Tour of Beijing Olympic Village | Details of smart bed 北京冬奥村 vlog| Winter Olympics,How many naive suckers are going to kiss up to Beijing to attend the gulag games. You are being used as propaganda tools by a communist totalitarian dictatorship that wants to glorify the CCP much in the same way that Hitler wanted to glorify his Third Reich back in the 1936 Munich games.
Beijing 2022| Tour of Beijing Olympic Village | Details of smart bed 北京冬奥村 vlog| Winter Olympics,Good job，China👍
Beijing 2022| Tour of Beijing Olympic Village | Details of smart bed 北京冬奥村 vlog| Winter Olympics,F R E E   T I B E T    F#CK THE OLYMPICS
Beijing 2022| Tour of Beijing Olympic Village | Details of smart bed 北京冬奥村 vlog| Winter Olympics,"I wish Beijing 2022 a great success! Go China!
On a separate note, it's good to see CGTN's journalists step out of their warm broadcasting room and do some fieldwork. However, do you know that there are so many videos that have been done by individual vloggers before you? Moreover, their quality is better than this one. It says 'Details of smart bed', but no detail was included. It says 20 days to go from the Olympics is very confusing as it is only 5 days from the opening ceremony which will be on 4 Feb. 2022."
