Video Caption,Comment
An inside look at the journey to the Beijing Winter Olympics,"OK, we collected your health data: day1 negative, day2 negative, day3 negative, ..., dayN positive SUPPRISE!"
An inside look at the journey to the Beijing Winter Olympics,china is just amazing
An inside look at the journey to the Beijing Winter Olympics,"Every felt safe with the strict protocol. That's a gold medal for the organizing committee, also great opportunity for the athletes and supporting crews to see a small part of China in person, even though it is just inside the bubble."
An inside look at the journey to the Beijing Winter Olympics,poor channel no access video all only editing video from past
An inside look at the journey to the Beijing Winter Olympics,Please include subs. Not everyone can hear.
An inside look at the journey to the Beijing Winter Olympics,So living in Covid free environment is a bad thing now… better than 1M cases per day I’d say
An inside look at the journey to the Beijing Winter Olympics,"See the quality of Chinese ice
all the players are falling
In the men's 1000m, Hwang Dae-heon and Lee Jun-seo were disqualified for violating a lane change even though they did not commit any fouls. These players were disqualified and two Chinese were promoted. In the end, three Chinese players took part in the final.
really dirty and ugly beijing olympics
Also, in the final, the Hungarian player took first place, and the Hungarian player was disqualified and the Chinese player took all the medals even though the Chinese player used his hand."
An inside look at the journey to the Beijing Winter Olympics,You all live in your own bubble hope it burst
An inside look at the journey to the Beijing Winter Olympics,No one should have gone there  period
An inside look at the journey to the Beijing Winter Olympics,Lies lies!! Distraction!! Fear mongering bunch of jesters
An inside look at the journey to the Beijing Winter Olympics,Fishy!! U could say anyone u thought might be the best could end up excluded for a lie
An inside look at the journey to the Beijing Winter Olympics,"Only competent gov can plan, organize and operate a bubble. Incompetent gov can only do nothing and let loose everything."
An inside look at the journey to the Beijing Winter Olympics,What?  NoChinese threats to other nations politicians and athletes?   When did them acting normal start.
An inside look at the journey to the Beijing Winter Olympics,Should have been scrubbed. This is not going to be a true betrayal of the Olympics. Their are too many distractions and missing athletes.
An inside look at the journey to the Beijing Winter Olympics,"yeah, I wonder what you can come up with how useful those data is. seriously.  burner phones ..."
An inside look at the journey to the Beijing Winter Olympics,"Finally I can see the reaction from foreign athletes and journalist on how they really view our pandemic control. 
Yes when I first got back to China last year I was really stressful, but after landing and all the quarantine, I feel safer and free more than ever. Safety and freedom surely is addictive, but it does not comes naturaly. I hope some politicians and media can respect the way they handle the pandemic and give credit where it's due or at least not shifting their problems to others. Welcome to Beijing!"
An inside look at the journey to the Beijing Winter Olympics,No need to spread lies.
An inside look at the journey to the Beijing Winter Olympics,I am proud of China. China is showing the whole world what a true civilization really is!
An inside look at the journey to the Beijing Winter Olympics,Lmfao they create the virus then being extra after the fact. China is an Fd country.
An inside look at the journey to the Beijing Winter Olympics,Watch for the new Covid variant to come from 🇨🇳 after this & remember duck eggs are far more nutritious than chicken eggs
