Video Caption,Comment
10 Dystopian Visions of the Beijing Winter Olympics,"Thank you for your question and your support Bitter Comments! If any of you haven't already gotten your China Uncensored Olympic t-shirt, head on over to https://chinauncensored.tv/merchandise"
10 Dystopian Visions of the Beijing Winter Olympics,"I for one,chose not to watch the Olympics in Beijing."
10 Dystopian Visions of the Beijing Winter Olympics,"You media workers should often go to church to repent, what a pity, your daily job is to frame a country and a government that has nothing to do with you.  It really embodies the spirit of criticism vividly."
10 Dystopian Visions of the Beijing Winter Olympics,"Does nobody make the connection between bad food and baggy clothes? Like these people are in peak condition, any reduction in diet will have an immediate impact, hence the baggy clothes.
My expectations were low but holy hell did the CCP underdeliver."
10 Dystopian Visions of the Beijing Winter Olympics,Returning athletes will probably have a lil ptsd after the whole ordeal. Probably constantly looking over their shoulder to see if they re being watched and surveilled
10 Dystopian Visions of the Beijing Winter Olympics,fuck lier channel
10 Dystopian Visions of the Beijing Winter Olympics,"The athletes should never have gone. The IOC is corrupt and complicit and the Olympics have been destroyed forever.  Russia was bad enough, this is 10 times worse."
10 Dystopian Visions of the Beijing Winter Olympics,4:45 that Hungarian skater has a Chinese daddy and he's called Alexander Liu Shaolin
10 Dystopian Visions of the Beijing Winter Olympics,"THANK YOU FOR EXPOSING THE F.....G
CROOKS"
10 Dystopian Visions of the Beijing Winter Olympics,It's Communist China.  What did you expect?
10 Dystopian Visions of the Beijing Winter Olympics,The fuckers are running around taking down videos exposing the truth.
10 Dystopian Visions of the Beijing Winter Olympics,"And this is from US Olympics team 
https://youtu.be/GBQbGwDMZBM

Here’s another one from US snowboarding team:
https://youtu.be/ddYnmDXHeAo

And this one from the aussie’s team when they come home:
https://youtu.be/ZZfXMboAx0M"
10 Dystopian Visions of the Beijing Winter Olympics,The Chinese gon cheat
10 Dystopian Visions of the Beijing Winter Olympics,"Chinese people seem to think that China is the center of the world and they believe that ALL ASIAN CULTURES come from China.  They have been claiming that Korean cultures like Kimchi and Hanbok are Chinese, and Korean people are becoming extremely concerned that China will later try to claim Korea.  They are already claiming that Korea's ancient history and its kingdom Goguryeo (Korea's name is derived from Goguryeo's later kingdom Goryeo) is Chinese history, and all Korean cultures copied Chinese cultures.  I've personally encountered many Chinese people in the U.S. who argued that Korea used to be a part of China, which is ABSOLUTELY NOT TRUE.  Korea has existed for thousands of years, and we never ever want to be a part of China.
What scares me is that South Korean military power is ranked number 6 in the world in 2022 and has US military bases in Korea, and China still DOESN'T CARE. Please people in the world, do not believe in the propaganda that all Asian cultures originated from China.  Think about China's counterfeit culture and copyright infringement issue.  Do you think China would have been the only country that created Asian civilization and cultures?  Historically, Korea got invaded by China hundreds of times and we are growingly concerned.  People of other Asian countries, please be alarmed.  After Tibet, Hong Kong, and Taiwan, you don't know who will be China's next target."
10 Dystopian Visions of the Beijing Winter Olympics,I think all the athletes should’ve avoided China for several reasons the latest because they unleash Cove into the world but the human rights of the people they’ve killed I can’t help it say I don’t feel sorry for the treatment they shouldn’t of went there in the first place we already know a snake is a snake and when you’re surprised it bites you you know that’s what they do it’s their nature
10 Dystopian Visions of the Beijing Winter Olympics,internet beats reality，😄
10 Dystopian Visions of the Beijing Winter Olympics,胡说八道，哎。
10 Dystopian Visions of the Beijing Winter Olympics,no sympathy for the athletes you get what you deserve this is what happens when you endorse communism
10 Dystopian Visions of the Beijing Winter Olympics,China is the enemy!! Wake up!!!!
10 Dystopian Visions of the Beijing Winter Olympics,"I'm surprised people are even there, why is the world not boycotting this evil country's Winter Olympic Games?  I would be worried about what the athletes will bring back with them, biologically.  Probably a good idea to keep them in quarantine for a month, just to be sure."
