Video Caption,Comment
Global protests rage against Beijing Winter Olympics | China's human rights abuses in focus | WION,Finallt some muslim countries realize that its not the west who puts muslims in concentrationcamps
Global protests rage against Beijing Winter Olympics | China's human rights abuses in focus | WION,🤏hina    🤏orona
Global protests rage against Beijing Winter Olympics | China's human rights abuses in focus | WION,"This video is full of prejudice against China and arrogance from nowhere, which is totally unacceptable to the Chinese people.
Do you know anything about China? Have you ever been to China?
Do you know that China has lifted over 600 million people out of poverty from a penniless state?
Did you know that China is now the world's second largest economy at US$8,000 per capita?
Could China have developed so much if we hadn't protected human rights so well?
Did you know that China has included the protection of human rights in our constitution?
The people who know best about the human rights situation in China are not you, the foreign powers, but the Chinese themselves."
Global protests rage against Beijing Winter Olympics | China's human rights abuses in focus | WION,"Long live Taiwan, Hong Kong, Australia, Xinjiang, Mongolia, Tibet and all of those opressed by the CCP.  thx and bye!"
Global protests rage against Beijing Winter Olympics | China's human rights abuses in focus | WION,I like to see India boycott video
Global protests rage against Beijing Winter Olympics | China's human rights abuses in focus | WION,"No HIZAB...... Nityananda swamy

 Pak followers:2022
మేము హిజాబ్ ధరించి పాఠశాలకు రావడానికి అనుమతించాలి..

2023
పాఠశాలలో నమాజ్ చేయడానికి మాకు అవకాశం కావాలి..

2024
నమాజ్ చేయడానికి ప్రత్యేక స్థలం కావాలి..

2025
మా ప్రార్థన సమయంలో తరగతి మరియు చదువుల నుండి ఇంటర్వల్ ఉండాలి..

2026
కాలేజీ క్యాంటీన్‌లో హలాల్ ఆహారం మాత్రమే అందించాలి..

2027
ఆదివారం కాకుండా శుక్రవారం సెలవు ఇవ్వండి..

2028
మేలో పాఠశాలలకు సెలవు ఎందుకు?  రంజాన్ మాసంలో ఇవ్వండి..

2029
సిలబస్‌లో కృష్ణుడు, బుద్ధుడు, రాముడు అనే అధ్యాయాలు ఉన్నాయి, వాళ్ళని  మేము దేవుడు అని అంగీకరించము, కాబట్టి అవన్నీ అవసరం లేదు, తొలగించండి....!!"
Global protests rage against Beijing Winter Olympics | China's human rights abuses in focus | WION,"Boycott made in China 🇨🇳 👺🐷☠️👎🦶Free Tibet ，uighors, Hong Kong 🇭🇰,Mongols✊👍✌️"
Global protests rage against Beijing Winter Olympics | China's human rights abuses in focus | WION,I agree. To watch this is to support it. Turn it off!👵😇
Global protests rage against Beijing Winter Olympics | China's human rights abuses in focus | WION,"Tiongkok bukan 40 tahun yang lalu, Politik dan Drama Tentu Tiongkok tahu Siapa yang main di belakang Layar, Mengapa di Dunia tidak Kelompok Orang Protes Amerika membunuh sangat banyak Manusia tidak berdosa di IRAQ dan Afganistan, Mereka Kelompok Orang yang Protes Tiongkok dan Fitnah Tiongkok Macam,6 macam, Matanya Buta tidak melihat Amerika membunuh sangat banyak Manusia di IRAQ dan Afganistan, Sedang Rakyat Amerika masih mau Tiongkok yang bantu Mata mereka kemana, WHO juga mau Tiongkok yang bantu Dunia tahu itu, Mata Dunia tidak buta, Apakah pakai cara Protes dan Fitnah Tiongkok itu hidup mereka bisa lebih baik, Bukankah Tiongkok Sudah puluhan tahun selalu di Protes dan Fitnah, Apa yang mereka dapat, Apakah negaranya lebih maju, dan apakah hidup mereka Sangat Kaya, Semua itu hanya menghancurkan masa depan mereka sendiri, Sebab, Tiongkok Negara punya Sejarah 5000 tahun lama, Pendidikan Moral Negara nya sangat tinggi, Jaman sekarang Mereka yang Protes Tiongkok Tapan alsan dan Bukti, Itu bisa di anggap Dunia Kelompok Aliran Sesat, Itu fakta"
Global protests rage against Beijing Winter Olympics | China's human rights abuses in focus | WION,I agree...boycott those Beijing Olympics.
Global protests rage against Beijing Winter Olympics | China's human rights abuses in focus | WION,When will people have chance to protest against Olympics in India ? Probably not in a century !
Global protests rage against Beijing Winter Olympics | China's human rights abuses in focus | WION,👏👏👏👏👏👏
Global protests rage against Beijing Winter Olympics | China's human rights abuses in focus | WION,China is starving its opponents athletes just so they can win
Global protests rage against Beijing Winter Olympics | China's human rights abuses in focus | WION,These games 🎮 should of never been held in CHINA 🇨🇳 cuz of the COVID-19 so why didnt they have it anywhere else? They had enough time to have it anywhere else.
Global protests rage against Beijing Winter Olympics | China's human rights abuses in focus | WION,Here's the solution. Get rid of the Olympics.
Global protests rage against Beijing Winter Olympics | China's human rights abuses in focus | WION,Man doing so much because of money
Global protests rage against Beijing Winter Olympics | China's human rights abuses in focus | WION,The IOC should be disbanded and drained of funds if there are any left.
Global protests rage against Beijing Winter Olympics | China's human rights abuses in focus | WION,Did you notice no U.S. protests. That's because the U.S. chicken neck speaker of the house said keep your mouth shut. We did want to upset our friend
Global protests rage against Beijing Winter Olympics | China's human rights abuses in focus | WION,"si bal chinese.
xi ziiin piiing si bal nyun"
Global protests rage against Beijing Winter Olympics | China's human rights abuses in focus | WION,"China doesnt show the respect which the sportsmen and sportswomen deserve. 
China doenst show respect to the Uigurish people.

China doesnt deserve respect of the rest of the world. USA, Europe, Taiwan, Vietnam, India are enough to show China and Russia where they belong. They should do it."
