Video Caption,Comment
India's only athlete at the 2022 Winter Olympics,"I am proud of him, despite the fact that India has done its athletes no benefits to constantly criticizing the games being held in China. This gentleman ought to be  a role model for all Indian and Pakistani snow sports enthusiasts. I wish him the best of luck."
India's only athlete at the 2022 Winter Olympics,"Hi, can you advertise?"
India's only athlete at the 2022 Winter Olympics,"Respect Brother, you are our Pride"
India's only athlete at the 2022 Winter Olympics,I have no idea why India is so weak in sports ... Indian men look strong.
India's only athlete at the 2022 Winter Olympics,a nuclear power yet woeful at most sports doesnt tally. well done him
India's only athlete at the 2022 Winter Olympics,"We support you.
Love from Bihar 🥰"
India's only athlete at the 2022 Winter Olympics,lol
India's only athlete at the 2022 Winter Olympics,Le Bhakts : Why is a pakestani playing for India?!! This is Olympics Jihad!!!
India's only athlete at the 2022 Winter Olympics,中国有一个节目介绍了这个印度人。在中国大家都非常支持他，了不起，还有另一个印度雪橇选手。
India's only athlete at the 2022 Winter Olympics,He is my friend.we both played for india
India's only athlete at the 2022 Winter Olympics,I’m disappointed as an Indian. What justice to the lives lost at Galwan clash. But I still wish him good luck.
India's only athlete at the 2022 Winter Olympics,All the best
India's only athlete at the 2022 Winter Olympics,All the best Arif Khan. Snow chaser.
India's only athlete at the 2022 Winter Olympics,ICE cricket should be adopted as a winter sport
India's only athlete at the 2022 Winter Olympics,❤️ only Indian ❤️
India's only athlete at the 2022 Winter Olympics,All the best 👍
India's only athlete at the 2022 Winter Olympics,India must provide more money for training. You need to reach a certain standard to qualify for the Olympics. Only 1 person from India qualify?
India's only athlete at the 2022 Winter Olympics,All t best 👌 Proud of you 🇮🇳 Go for gold ✌
India's only athlete at the 2022 Winter Olympics,Love from kupwara kashmir
