Video Caption,Comment
Winter Olympics - History Of The Torch Relay | 90 Seconds Of The Olympics,Mr ven aint hilarious
Winter Olympics - History Of The Torch Relay | 90 Seconds Of The Olympics,Ah the Vancouver 2010 Torch Relay. The only time I’ll ever get to see the Olympic flame up close. Yep. I used to live in Kamloops and a week before the opening ceremony everyone gathered at Hillside Stadium at the Tournament Capital Centre to watch the torch come through
Winter Olympics - History Of The Torch Relay | 90 Seconds Of The Olympics,What music is this? Please tell me! 😞
Winter Olympics - History Of The Torch Relay | 90 Seconds Of The Olympics,Sarajevo <3
Winter Olympics - History Of The Torch Relay | 90 Seconds Of The Olympics,what song is this?
Winter Olympics - History Of The Torch Relay | 90 Seconds Of The Olympics,"Olympic, will you broadcast the handover ceremony live?"
Winter Olympics - History Of The Torch Relay | 90 Seconds Of The Olympics,good
Winter Olympics - History Of The Torch Relay | 90 Seconds Of The Olympics,"could a city in the southern hemisphere host the winter games, i mean would a southern bid be accepted"
Winter Olympics - History Of The Torch Relay | 90 Seconds Of The Olympics,Loving this channel! Olympic videos with high quality finally!
Winter Olympics - History Of The Torch Relay | 90 Seconds Of The Olympics,"olympic,will you broadcast the lighting ceremony live?"
Winter Olympics - History Of The Torch Relay | 90 Seconds Of The Olympics,Haha this is cool
