Video Caption,Comment
Smallest nations to win a medal at the Winter Olympics!,"News, documentaries & all the #Beijing2022 updates: https://oly.ch/B22Home"
Smallest nations to win a medal at the Winter Olympics!,Slovenia 💪💪
Smallest nations to win a medal at the Winter Olympics!,👍👍👍👍👍
Smallest nations to win a medal at the Winter Olympics!,Skacthboard is very best game.
Smallest nations to win a medal at the Winter Olympics!,только не указали фамилии великих олимпийских призеров из лихтенштейна и люксембурга. а надо было бы.
Smallest nations to win a medal at the Winter Olympics!,Olympic spirit that exchanged money
Smallest nations to win a medal at the Winter Olympics!,China’s IOc
Smallest nations to win a medal at the Winter Olympics!,장난하냐 지금
Smallest nations to win a medal at the Winter Olympics!,not olympic➡️中华人民共和国全国运动会
Smallest nations to win a medal at the Winter Olympics!,쇼트트랙 장난치세요? 이럴거면 중국에 다 메달 몰아주고 경기하지 마세요. 부끄러운 스포츠를 하면서 아이들에게 스포츠가 공정하다고 홍보하지마세요
Smallest nations to win a medal at the Winter Olympics!,Parabéns.👏👏👏👏👏
Smallest nations to win a medal at the Winter Olympics!,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
Smallest nations to win a medal at the Winter Olympics!,Молодцы!!!
Smallest nations to win a medal at the Winter Olympics!,The highest amount of medals per capita
Smallest nations to win a medal at the Winter Olympics!,This Olympics will be the forever forgotten one. So many people dont even know the Olympics are even going on and the rest dont care or think it counts because its held in Beijing.  2022 a winter Olympics Not te be remembered.
Smallest nations to win a medal at the Winter Olympics!,THAT'S WHAT IT IS ALL ABOUT ANYBODY CAN BE A WINNER
Smallest nations to win a medal at the Winter Olympics!,"Got this music is so bad, can you just show the sport without ruining it with this music."
Smallest nations to win a medal at the Winter Olympics!,"Anyone could be a winner, this is olympics spirit!"
Smallest nations to win a medal at the Winter Olympics!,What happened to all your vlogs at the Beijing Olympics?  They all are unavailable.
Smallest nations to win a medal at the Winter Olympics!,🚨The CCP steals Korean traditional clothes. Disgusting CCP 'The Head Thief of the World'🐀.
