Video Caption,Comment
Closing Ceremony of the Sochi 2014 Winter Olympics | #Sochi365,"The saddest part is the 15 mirrors represent the 15 countries the soviet split into. Although Misha can see its reflection, but it will never be whole again."
Closing Ceremony of the Sochi 2014 Winter Olympics | #Sochi365,🇷🇺WELCOME TO RUSSIA WHERE OUR OLYMPIC CULTURE REMAINED!🇷🇺
Closing Ceremony of the Sochi 2014 Winter Olympics | #Sochi365,Handover to Pyeongchang 2018 02:11:00
Closing Ceremony of the Sochi 2014 Winter Olympics | #Sochi365,2:13:03 한국인들을 위해
Closing Ceremony of the Sochi 2014 Winter Olympics | #Sochi365,59:20
Closing Ceremony of the Sochi 2014 Winter Olympics | #Sochi365,평창소개는 2:12:20 부터
Closing Ceremony of the Sochi 2014 Winter Olympics | #Sochi365,2:17:00
Closing Ceremony of the Sochi 2014 Winter Olympics | #Sochi365,52:50 러시아의 위트와 재치^^
Closing Ceremony of the Sochi 2014 Winter Olympics | #Sochi365,"The whole ceremony is absolutely stunning in every single aspect,but the part of the bear with the little children hits me too,thank you so much for this amazing display of the wonderful Russia soul,the whole world loves you! 🤍💙❤️"
Closing Ceremony of the Sochi 2014 Winter Olympics | #Sochi365,"It's a masterpiece, what can I say. Thanks to the Russians and thanks to the Olympic Games for a one more reminder that love remains in people and they can live in peace and build beauty together!"
Closing Ceremony of the Sochi 2014 Winter Olympics | #Sochi365,"Опозорились с допингом, что тут шикарного?!"
Closing Ceremony of the Sochi 2014 Winter Olympics | #Sochi365,"Эта сила в нас, сила олимпиады, да будет дружба всех народов"
Closing Ceremony of the Sochi 2014 Winter Olympics | #Sochi365,2:17:00 and 2:21:00 Sumi Jo performs.
Closing Ceremony of the Sochi 2014 Winter Olympics | #Sochi365,"Комент 2022, 5 февраля, 05.01.2022, Как же все страны были дружелюбны в то время (2014) а шас в 2022, почти все страны ненавидят себя, много конфликтов у России и США, и с Украиной, надеюсь, в будущем всё будет Хорошо 😇"
Closing Ceremony of the Sochi 2014 Winter Olympics | #Sochi365,"Раньше это было не так давно, а сейчас уже 6 лет назад😭😭😭"
Closing Ceremony of the Sochi 2014 Winter Olympics | #Sochi365,"2：42：30 Polar bear looking Fifteen mirrors（fifteen republic of the Soviet Union）, every side can't take complete self，too sad...."
Closing Ceremony of the Sochi 2014 Winter Olympics | #Sochi365,베이징 보다가 온 사람?
Closing Ceremony of the Sochi 2014 Winter Olympics | #Sochi365,"это просто потрясающе!!!! Заставить мужика в 36 лет плакать на взрыд, вспоминая детство, вспоминая своих родителей, вспоминая Мишу....."
Closing Ceremony of the Sochi 2014 Winter Olympics | #Sochi365,1:43:16
Closing Ceremony of the Sochi 2014 Winter Olympics | #Sochi365,"Respect russia from korea. 
привет из Кореи!"
