Video Caption,Comment
The Full Lillehammer 1994 Winter Olympic Film | Olympic History,"Please show the whole Lillehammer Olympics 1994 opening ceremony! 🙏❤ 
Is one of the greates Opening Ceremony ever!"
The Full Lillehammer 1994 Winter Olympic Film | Olympic History,Thanks a lot! The best winter olympic games were here! Nature and landscape are almost the same as we have in the Russian North in Utmanovo)
The Full Lillehammer 1994 Winter Olympic Film | Olympic History,Nancy Kerrigan is a champ. Kudos to her after being brutally assaulted.
The Full Lillehammer 1994 Winter Olympic Film | Olympic History,remeber that my mother stood in the top of the black ring as one of the persons forming it
The Full Lillehammer 1994 Winter Olympic Film | Olympic History,8:11 Sissel singing
The Full Lillehammer 1994 Winter Olympic Film | Olympic History,This actually makes me cry. When I think of how things are now and look at this from the past it makes me cry.
The Full Lillehammer 1994 Winter Olympic Film | Olympic History,Best olympic ever!
The Full Lillehammer 1994 Winter Olympic Film | Olympic History,There was something so inspirational and beautiful about these ceremonies from the past
The Full Lillehammer 1994 Winter Olympic Film | Olympic History,Lillehammer 1994
The Full Lillehammer 1994 Winter Olympic Film | Olympic History,"Olympics in Lillehammer 1994, make me proud to be Norwegian 🇳🇴❤ 
I only hope we can host a new Olympics in Norway agein, one beautiful winter day ❄❤🇳🇴"
The Full Lillehammer 1994 Winter Olympic Film | Olympic History,"1994 was a great year in so many ways, these games being part of them…x"
The Full Lillehammer 1994 Winter Olympic Film | Olympic History,"0:01 Welcome to Norway
0:22 Ice derby visual"
The Full Lillehammer 1994 Winter Olympic Film | Olympic History,"BRAZILIAN 
Greeting from brazil 💛💚

Lillehanner 94 winter? 
Norwegias"
The Full Lillehammer 1994 Winter Olympic Film | Olympic History,What is this? What a disgrace???
The Full Lillehammer 1994 Winter Olympic Film | Olympic History,Still mad Torvill&Dean were robbed of gold due to the politics in ice dance at the time😑
The Full Lillehammer 1994 Winter Olympic Film | Olympic History,"The Games Itself Is Opened at 12 February 1994 , The Day When I Born"
The Full Lillehammer 1994 Winter Olympic Film | Olympic History,"I’m born at 1994 , at that time I was a baby , Now I’m 27 this year 
Oh Gosh ! Time flies so fast"
The Full Lillehammer 1994 Winter Olympic Film | Olympic History,I did find it odd that Oksana Baul when she won of the 9 judges there were 4 from democratic governments 4 from former communist governments and China the 5 communist judges all put Baul ahead of Kerrigan the German judge was a former East German skater and hard-core communist supporter
The Full Lillehammer 1994 Winter Olympic Film | Olympic History,"Are there documentaries this perfect for all of the Olympics? The stories aren't politically motivated, they're personal, and have you rooting for the champions, and the hometeam, no matter your personal biases. Again: Perfect. <3"
The Full Lillehammer 1994 Winter Olympic Film | Olympic History,greatest olympic games ever.
