Video Caption,Comment
OLYMPIC GULAG: Athletes Expose Chinese Isolation Horror At Winter Games,"Because we don't want you to miss important news, hit this link http://nnn.is/Sub-to-N3 to subscribe to our YouTube channel, then tap the bell and turn on your notifications."
OLYMPIC GULAG: Athletes Expose Chinese Isolation Horror At Winter Games,"我是中国人，我现在在韩国留学4年了，我也看过很多国家关于中国的新闻，说中国什么种族灭绝等等这种离谱的话，作为一个在两个国家都生活过的人我可以明确的说我在中国的生活是自由和安全的，很多媒体对中国的新闻报道都非常主观或者是捏造的，通常都是放上几个怪异的图片然后以高高在上的视角对中国进行指控。以新疆方面的事来说，美国媒体说新疆种族灭绝，然而事实是2000年新疆人口为1846万人到2020年人口为2585万人，人口怎么越灭绝越多？要知道2585万人口已经比一些国家的总人口都多,同时新疆也不是一个封闭交通的地方，当然要是买不起飞机票那当我没说上句话没说，15年前的新疆还没有现在这么和平，那时在中国新疆恐怖份子很多，这些年随着对新疆文化教育的普及，已经好几年没有出现恐怖袭击事件了，我也遇见过很多新疆人，干各行各业的都有，不管是穆斯林还是无神论者生活的都很好，所以这就是因为中国的发展速度危险到了美国的全球霸权主义而对中国的舆论打压，美国建国以来240多年以来只有16年没打过仗军费世界第一遥遥领先，死在美国“和平”子弹下的人无数，美国枪杀黑人人权等问题无数，这么一个国家却一直在质控40多年没和其他国家发生战争中国不是很可笑？还有说吃中国人吃蝙蝠的，我不完全否认，要知道中国有14亿人口其中必然有几个口味不正常的人，我本人现时中都没见过蝙蝠。  我相信有人看了我说的话会说：“这个人被中国政府洗脑了~  ”  。  我说的只是我的所见所闻，而谁又被真正洗脑了呢？🤔"
OLYMPIC GULAG: Athletes Expose Chinese Isolation Horror At Winter Games,What did everyone expect this is communist China
OLYMPIC GULAG: Athletes Expose Chinese Isolation Horror At Winter Games,哈哈，这个视频恰恰能证明你们是多么的无知。
OLYMPIC GULAG: Athletes Expose Chinese Isolation Horror At Winter Games,This comment section is full of Communist Chinese Nationals.
OLYMPIC GULAG: Athletes Expose Chinese Isolation Horror At Winter Games,"China should not do all the tests and quarentines, let athletes freely do anything they like to do. Finger crossed every one is safe, and safely back home."
OLYMPIC GULAG: Athletes Expose Chinese Isolation Horror At Winter Games,"The truth is that this woman boarded a plane to China even though she knew she had the virus. So she was quarantined in China, and she was free to eat and live. She should apologize to the Winter Olympics. Does she want to infect other athletes with the virus?  ?  Or affect the Winter Olympics?  She is too selfish."
OLYMPIC GULAG: Athletes Expose Chinese Isolation Horror At Winter Games,all bullshit
OLYMPIC GULAG: Athletes Expose Chinese Isolation Horror At Winter Games,"just as Soviet Union, now usa turn his weapon to china."
OLYMPIC GULAG: Athletes Expose Chinese Isolation Horror At Winter Games,Wow there are thing like this too? 🤣Another us media without any politicism reveal the truth about their athlete.. They happy and even braging about high tech bed
OLYMPIC GULAG: Athletes Expose Chinese Isolation Horror At Winter Games,"The Olympics 2022 is a horrible geopolitical nightmare. No more love for the Olympics after this fiasco. (China being boycotted, ""Covid"" isolation cells, Russian Doping )🤔🧐👎"
OLYMPIC GULAG: Athletes Expose Chinese Isolation Horror At Winter Games,"If the CCP doesn't care about its own people, why would it care about foreign athletes?"
OLYMPIC GULAG: Athletes Expose Chinese Isolation Horror At Winter Games,西方这些假新闻 真是太恐怖
OLYMPIC GULAG: Athletes Expose Chinese Isolation Horror At Winter Games,The Nations of these athletes need to bring them home if they are being treated this poorly!!!
OLYMPIC GULAG: Athletes Expose Chinese Isolation Horror At Winter Games,The only Americans hating the Chinese 2022 Winter Olympic are the US media ..... because China refusal to recognized Juudaism ..... Oh!  what a coincident .... most US media executives are jweish
OLYMPIC GULAG: Athletes Expose Chinese Isolation Horror At Winter Games,"She seems can’t stop blinking her eyes, bad actress"
OLYMPIC GULAG: Athletes Expose Chinese Isolation Horror At Winter Games,This woman is a spoiled child idiots
OLYMPIC GULAG: Athletes Expose Chinese Isolation Horror At Winter Games,I'll never understand why this was allowed! 😱....Americans in a country that's trying to  kill and enslave them!  Who's idea was this?!  Idiots! 🤯😳
