Video Caption,Comment
Beijing Winter Olympics HL : 8 ก.พ. 65 Figure Skating ชายเดี่ยว รอบคัดเลือก,It’s in Thai 😃
Beijing Winter Olympics HL : 8 ก.พ. 65 Figure Skating ชายเดี่ยว รอบคัดเลือก,ปีนี้น้องฮานิวดับมาก สงสาร
Beijing Winter Olympics HL : 8 ก.พ. 65 Figure Skating ชายเดี่ยว รอบคัดเลือก,Yuma kakiyama เล่นเก่งกว่า นาธาน อีก มาแรงมาก คนนี้
Beijing Winter Olympics HL : 8 ก.พ. 65 Figure Skating ชายเดี่ยว รอบคัดเลือก,"ในที่สุด Yuzuru ก็กลายเป็นตำนาน ใจหายนึกว่า ญี่ปุ่นจะครองทั้ง 3 เหรียญ แต่ทาธานของฉันมาเหนือจ้า มาแบบเท่ห์ คูลล มาแบบแม่นย้ำมาก เชียร์สุดมากคนนี้ และปัจจุบันก็เป็น นาธานนะจ้ะะะ
ปล.รู้สึกว่าตั้งแต่ yuzuru  เปลี่ยนโค้ช อะไรก็ดูดรอปลงดูไม่มีความมั่นใจ และโค้ชเก่าก็ไปโค้ชให้กับเกาหลี ซึ่งน้องเกาก็ทำได้ดีมีเสน่ห์มากเลย คะแนนนำทีมรัซเซียด้วย  
 รอบผู้หญิง แน่นอนว่า เชียร์ ทีมรัซเซียขาดใจดิ้น เพราะว่าคะแนน FP ของพวกนางแต่ละคนนั่น เกือบเทียบเท่า ผู้ชายเลย มาแรงส์มากกกกกก"
Beijing Winter Olympics HL : 8 ก.พ. 65 Figure Skating ชายเดี่ยว รอบคัดเลือก,"No matter who gets the gold, Shoma is still the cutest man on ice."
Beijing Winter Olympics HL : 8 ก.พ. 65 Figure Skating ชายเดี่ยว รอบคัดเลือก,Nathan is the best👍!
Beijing Winter Olympics HL : 8 ก.พ. 65 Figure Skating ชายเดี่ยว รอบคัดเลือก,"Go Nathan, my son"
Beijing Winter Olympics HL : 8 ก.พ. 65 Figure Skating ชายเดี่ยว รอบคัดเลือก,จะร้องไห้ ยูซุรุหล่นไปอยู่ล่างๆเลย ไม่ได้อยู่ในคลิปด้วยซ้ำ เกิดอะไรขึ้นกับยูซุ
Beijing Winter Olympics HL : 8 ก.พ. 65 Figure Skating ชายเดี่ยว รอบคัดเลือก,ขอ Nathan อย่าพลาดตอน FS เอาเหรียญทองตบหน้าติ่ง Yuzuru ที ชอบแซะตลอด ตัว Yuzuru เองน่ารักมากแต่ติ่งบางคนก็อวยเกิน สถิติมีไว้ทำลายและคนที่จะมาทำลายทุกสถิติก็คือ Nathan
Beijing Winter Olympics HL : 8 ก.พ. 65 Figure Skating ชายเดี่ยว รอบคัดเลือก,"Бог мой! Неужели наконец в мужском ФК чемпионом станет МУЖЧИНА, а не недоразумение в перьях и бабских кофтах?!"
Beijing Winter Olympics HL : 8 ก.พ. 65 Figure Skating ชายเดี่ยว รอบคัดเลือก,นาธานคือสุดๆจริงๆไม่พลาดซัดจัมพ์เลยนำญี่ปุ่นไปได้อี้กกกกกกก
Beijing Winter Olympics HL : 8 ก.พ. 65 Figure Skating ชายเดี่ยว รอบคัดเลือก,Nathan Chen คือที่สุด
Beijing Winter Olympics HL : 8 ก.พ. 65 Figure Skating ชายเดี่ยว รอบคัดเลือก,браво -кагеямо-и умо -= но чен это что то. -=это запредельное ощущение=- это оголенный нерв- нет не мой-=а -всей планеты .-=чен это- геометрия -=. нет мне не хватает русского языка чтоб описать -=все это -=
