Video Caption,Comment
Women's 5000m speed skating ⛸ | Last 5 champions,All the #Beijing2022 results so far: https://oly.ch/B22Results
Women's 5000m speed skating ⛸ | Last 5 champions,"Timestamps:
0:10 - Claudia Pechstein (Germany)
Salt Lake 2002 🇺🇸
2:02 ‐ Clara Hughes (Canada) Torino 2006 🇮🇹
4:21 and 6:38 ‐ Martina Sablikova (Czech Republic) Vancouver 2010/Sochi 2014 🇨🇦🇷🇺
8:22 ‐ Esmee Visser (Netherlands) Pyeongchang 2018 🇰🇷"
Women's 5000m speed skating ⛸ | Last 5 champions,"Нашим позор, надо сидеть и не высовываться"
Women's 5000m speed skating ⛸ | Last 5 champions,And now its Irene Schouten!
Women's 5000m speed skating ⛸ | Last 5 champions,Я восхищаюсь этими спортсменками.
Women's 5000m speed skating ⛸ | Last 5 champions,A rotten ioc that got money from China
Women's 5000m speed skating ⛸ | Last 5 champions,A rotten ioc that got money from China
Women's 5000m speed skating ⛸ | Last 5 champions,Love it!!
Women's 5000m speed skating ⛸ | Last 5 champions,Go Canada! Boo for China. China is the worst
Women's 5000m speed skating ⛸ | Last 5 champions,So cool
Women's 5000m speed skating ⛸ | Last 5 champions,Love from hk
Women's 5000m speed skating ⛸ | Last 5 champions,Love
Women's 5000m speed skating ⛸ | Last 5 champions,Love from hk
Women's 5000m speed skating ⛸ | Last 5 champions,Woohoo
Women's 5000m speed skating ⛸ | Last 5 champions,Second
Women's 5000m speed skating ⛸ | Last 5 champions,Great race very abstract
