Video Caption,Comment
Highest scoring women's ice hockey match! 🏒,"All the latest Ice Hockey news, videos and #Beijing highlights:https://oly.ch/B22IceHockey"
Highest scoring women's ice hockey match! 🏒,Slovenskooooooooooooooo😁
Highest scoring women's ice hockey match! 🏒,Hats off to Slovakia for playing it through to the end. HIGHEST RESPECT!
Highest scoring women's ice hockey match! 🏒,We are fast 🙃🙃🙃🙃😃😃😃👀👀
Highest scoring women's ice hockey match! 🏒,"well .. Germany had their Olympics in 1936 and now, in 2022, China has had theirs .."
Highest scoring women's ice hockey match! 🏒,Me watching this while being from Slovakia: 😢
Highest scoring women's ice hockey match! 🏒,Too bad there wasn't a way to call the game. It had to be embarrassing.
Highest scoring women's ice hockey match! 🏒,"woman hockey is joke, should be removed."
Highest scoring women's ice hockey match! 🏒,Es que Canadá es el amo del Hockey 🏒 💕
Highest scoring women's ice hockey match! 🏒,Show some sympathy and respect. Don't destroy them so badly. Its called sportsmanship. Learn it. Majorly disrespectful.
Highest scoring women's ice hockey match! 🏒,Congratulations Canada
Highest scoring women's ice hockey match! 🏒,Hurrah Canada!
Highest scoring women's ice hockey match! 🏒,one bast thing about dube is that whenever he achieved. something he never gives the credit to himself. he never gives up the audience the most and his team too. he is always police in every of s video.we congratulate ourselves for this achievement. more to come and everything come. we re always🙏🥰🥰
Highest scoring women's ice hockey match! 🏒,TURN IT OFF!!! DON'T WATCH!!!
Highest scoring women's ice hockey match! 🏒,TURN IT OFF!!! DON'T WATCH!!!
Highest scoring women's ice hockey match! 🏒,This match is one of the reasons why the United States and Canada were placed in the same group in future tournaments.
Highest scoring women's ice hockey match! 🏒,E
Highest scoring women's ice hockey match! 🏒,I honestly don’t remember a Olympic men’s match that was that high.
Highest scoring women's ice hockey match! 🏒,"I was at that game!  It was so incredible.  Even though they lost big, they played hard the entire game.  60 minute hockey.  Never once did I see them give up and mail it in.  Says a lot about their passion and character.  At the end of the game, the crowd gave them a rousing and lengthy standing ovation and you could see that they were surprised and appreciative of the standing O.

Any chance of posting the full game?"
Highest scoring women's ice hockey match! 🏒,Alternate title: straight up bullying
