Video Caption,Comment
Top 10 Nations with the most Winter Olympic golds! 🥇,The current #Beijing2022 medal table: https://oly.ch/B22MedalTable
Top 10 Nations with the most Winter Olympic golds! 🥇,"Does anybody knows name of music performes in this video ? Кто-нибудь знает исполнителей музыки, подскажите?"
Top 10 Nations with the most Winter Olympic golds! 🥇,France and Italy ????
Top 10 Nations with the most Winter Olympic golds! 🥇,"The most familiar experience Russian winter athletes has with white powder is from all the dope they are snorting.
Downhill skiing? Well atleast its going downhill for them"
Top 10 Nations with the most Winter Olympic golds! 🥇,"Aunque el total de los alemanes es mayor, 158, con las 8 de ahora. Noruega 140, Rusia 139 y EUA 110..."
Top 10 Nations with the most Winter Olympic golds! 🥇,150 Gold-Medals Germanny! No. 1 !!!!!
Top 10 Nations with the most Winter Olympic golds! 🥇,Why is Russians allowed in the Olympics?
Top 10 Nations with the most Winter Olympic golds! 🥇,Bubbel Gammes😂😂😂 not more.
Top 10 Nations with the most Winter Olympic golds! 🥇,Норвегия опять применяет ингаляторы от астмы.
Top 10 Nations with the most Winter Olympic golds! 🥇,🇦🇹🇦🇹🇮🇹🇳🇴🇨🇦🇸🇪🇺🇲🇰🇷🇯🇵🥂
Top 10 Nations with the most Winter Olympic golds! 🥇,🇦🇹🇩🇪🇮🇹🇳🇴🇯🇵🇰🇷🇸🇪🇺🇲🥂
Top 10 Nations with the most Winter Olympic golds! 🥇,How about gold medals per inhabitants?
Top 10 Nations with the most Winter Olympic golds! 🥇,Why does Norway get the Final Boss song?
Top 10 Nations with the most Winter Olympic golds! 🥇,Can we get more baby olympycs?
Top 10 Nations with the most Winter Olympic golds! 🥇,"베이징 올림픽은 선수들을 위협하고 있다. 
그저 선수들이 건강하게 귀국했으면 좋겠다."
Top 10 Nations with the most Winter Olympic golds! 🥇,Kamila Valieva 👍👍👍❤❤❤
Top 10 Nations with the most Winter Olympic golds! 🥇,the germany of today is the result of the unification of east and west germany so it makes no sense at all to only count the west german medals in the medal tally. who came up with that?
Top 10 Nations with the most Winter Olympic golds! 🥇,it's an amazing games so far!
Top 10 Nations with the most Winter Olympic golds! 🥇,Vietnam  3 -  1  China   😅😅😅
Top 10 Nations with the most Winter Olympic golds! 🥇,Its obviously the women athletes top 10.
