Video Caption,Comment
CL Full Live Performance at the PyeongChang 2018 Closing Ceremony | Music Monday,where was the rest of 2ne1?
CL Full Live Performance at the PyeongChang 2018 Closing Ceremony | Music Monday,high goddess🤯💆🏽‍♂️🔥
CL Full Live Performance at the PyeongChang 2018 Closing Ceremony | Music Monday,Jeon somi i see her
CL Full Live Performance at the PyeongChang 2018 Closing Ceremony | Music Monday,keren
CL Full Live Performance at the PyeongChang 2018 Closing Ceremony | Music Monday,"Edm tracks are excellent ,"
CL Full Live Performance at the PyeongChang 2018 Closing Ceremony | Music Monday,2ne1 is the best
CL Full Live Performance at the PyeongChang 2018 Closing Ceremony | Music Monday,내 적금 깨서라도 언니한테 다시 입금해주고 싶은 느낌ㅠ_ㅠ 언니는 우리의 보물이에요!!!!!!!
CL Full Live Performance at the PyeongChang 2018 Closing Ceremony | Music Monday,CL QUEEN POR SIEMPRE 💕❤♥
CL Full Live Performance at the PyeongChang 2018 Closing Ceremony | Music Monday,"Imagine if Bom, Dara and Minzy entered when I am the Best played."
CL Full Live Performance at the PyeongChang 2018 Closing Ceremony | Music Monday,حفل صيني ؟
CL Full Live Performance at the PyeongChang 2018 Closing Ceremony | Music Monday,Power Queen
CL Full Live Performance at the PyeongChang 2018 Closing Ceremony | Music Monday,Aqui estou novamente
CL Full Live Performance at the PyeongChang 2018 Closing Ceremony | Music Monday,아오진짜 볼때마다 빡치네 와이쥐새킹
CL Full Live Performance at the PyeongChang 2018 Closing Ceremony | Music Monday,Super fannnn of yours CL
CL Full Live Performance at the PyeongChang 2018 Closing Ceremony | Music Monday,CL still the best ...
CL Full Live Performance at the PyeongChang 2018 Closing Ceremony | Music Monday,Me watching in 2022 be like 👀
CL Full Live Performance at the PyeongChang 2018 Closing Ceremony | Music Monday,미쳤다 개쩐다
CL Full Live Performance at the PyeongChang 2018 Closing Ceremony | Music Monday,"本当にかっこいい…
自分の中で一番最高にかっこよくて憧れる女性。"
