Video Caption,Comment
A Brief History of the Winter Olympics: Pushing the Extreme,Bruh
A Brief History of the Winter Olympics: Pushing the Extreme,"You american propagandists only showed the us beating the USSR, why didn't you show the USSR beating the us too?"
A Brief History of the Winter Olympics: Pushing the Extreme,Really good
A Brief History of the Winter Olympics: Pushing the Extreme,Where is Calgary
A Brief History of the Winter Olympics: Pushing the Extreme,Where is 1984 in Sarajevo
A Brief History of the Winter Olympics: Pushing the Extreme,""" "" ""THIS IS WHAT THE NORTHEAST INDIA NEEDS,, ,,"" "" ""

"" "" "" THIS IS WHAT THE NORTHEAST INDIA NEEDS,, ,,"" "" ""

"" "" "" THIS IS WHAT THE LADDAKH LEH LADDAKH LEH REGIONS REGION NEEDS,, ,,"" "" ""


A BIOLOGIST, ,,"
A Brief History of the Winter Olympics: Pushing the Extreme,"Boycott the CCP Olympics! Its a shame on the Humanity to give Olympics to CCP. Their genocide against the Tibetans, Xinjiang and the human rights violations in Hong Kong and Mainland China. Also for the animal abuse!  Free Tibet!"
A Brief History of the Winter Olympics: Pushing the Extreme,Even the best of all I love love your love you guys bye love you bye love bye baby girl hi hi girl bye love you bye bye love you love
A Brief History of the Winter Olympics: Pushing the Extreme,Really well done.
A Brief History of the Winter Olympics: Pushing the Extreme,Where is amazing Sarajevo 1984
A Brief History of the Winter Olympics: Pushing the Extreme,"""what he said"" haha."
