Video Caption,Comment
Salt Lake City 2002 Opening Ceremony | Salt Lake City 2002 Replays,its interesting how as time passes the ceremony usually gets more and more extravagant. yet nothing can replace the simplistic and joyful olympic walk where all the teams enter the stadiums in a procession. classic.
Salt Lake City 2002 Opening Ceremony | Salt Lake City 2002 Replays,2002 = 20 Years Ago
Salt Lake City 2002 Opening Ceremony | Salt Lake City 2002 Replays,I always liked the tribute to past Olympic hosts!
Salt Lake City 2002 Opening Ceremony | Salt Lake City 2002 Replays,Our Vice President has the audacity to compare the horrific events of that day to the few people who trespassed at the Capitol. Absolutely disgusting. We need to get this era of America back!
Salt Lake City 2002 Opening Ceremony | Salt Lake City 2002 Replays,i'm pissed no captions or subtitles.
Salt Lake City 2002 Opening Ceremony | Salt Lake City 2002 Replays,1:55:00 the mormon tabernacle choir
Salt Lake City 2002 Opening Ceremony | Salt Lake City 2002 Replays,Everybody seemed more loving to each other back then 😖
Salt Lake City 2002 Opening Ceremony | Salt Lake City 2002 Replays,This has inspired me to resume training starting tomorrow morning.. here's to 2026 and 2030!
Salt Lake City 2002 Opening Ceremony | Salt Lake City 2002 Replays,"It's been 20 years now and I still remember those wonderful times. As if it were yesterday, it's a pity you can't turn back time. It was one of the best Olympic Games."
Salt Lake City 2002 Opening Ceremony | Salt Lake City 2002 Replays,"20 years ago tonight, I was one of the snowflakes in the snow storm segment and a prairie girl in the American West segment. One of the top three best nights of my life. Not enough words to describe how amazing this entire ceremony was, and what a privilege and an honor it was to be have been chosen to be part of it."
Salt Lake City 2002 Opening Ceremony | Salt Lake City 2002 Replays,Where’s the high definition video of this event? I know I’ve seen it.
Salt Lake City 2002 Opening Ceremony | Salt Lake City 2002 Replays,"Aviva 5-25-11. Nashville, USA."
Salt Lake City 2002 Opening Ceremony | Salt Lake City 2002 Replays,"❤️❤️❤️❤️❤️❤️❤️ very powerful goosebumps.
I love the native Americans beautiful history"
Salt Lake City 2002 Opening Ceremony | Salt Lake City 2002 Replays,USA
Salt Lake City 2002 Opening Ceremony | Salt Lake City 2002 Replays,Impactful today just like 20 years ago.  I was there with my Husband and parents.  ❣️❣️❣️
Salt Lake City 2002 Opening Ceremony | Salt Lake City 2002 Replays,2:12:50
Salt Lake City 2002 Opening Ceremony | Salt Lake City 2002 Replays,1:09:28 - Michelle Kwan!!!
Salt Lake City 2002 Opening Ceremony | Salt Lake City 2002 Replays,"That was definitely better than Sochi of 2014. I never really watched it on tv, but on you tube.   Plus I was busy with the horn lesson l, my mom’s illness and Teddy the labradoodle. And it never really came to my mind that the dominant skaters were Asians and Russians. I did watch the Olympics of 2002 and other figure skating championships on tv.  My mom loved Ice skating as a child.  I took ice skating too until I had problems with arthritis and my spine.  You know it’s hard to skate with arthritis."
Salt Lake City 2002 Opening Ceremony | Salt Lake City 2002 Replays,The Native America tribute was lovely.
Salt Lake City 2002 Opening Ceremony | Salt Lake City 2002 Replays,4:30 5:02 7:45 8:00 1:08:14
