Video Caption,Comment
High-tech drones steal the show at the Winter Olympics,Drones are gonna be painting the night sky with adverts in the dystopian hellscape that awaits us
High-tech drones steal the show at the Winter Olympics,"China showed Hanbok, Kimchi, and many things as if they are included in China in the opening ceremony. They are absolutely Korean legacy!! 😡 what a shame!!"
High-tech drones steal the show at the Winter Olympics,This is simply Magical amazing
High-tech drones steal the show at the Winter Olympics,자랑스럽다 대한민국!!!♡
High-tech drones steal the show at the Winter Olympics,Korea 🇰🇷🇰🇷🇰🇷❤️‍🔥🏆
High-tech drones steal the show at the Winter Olympics,도쿄올림픽 보다가 평창올림픽 개막식 보니까 국격이 다르네 ㅋㅋㅋ
High-tech drones steal the show at the Winter Olympics,"누가 이런아이디어를 냈겠어요..? 
머리는 한국인머리였지"
High-tech drones steal the show at the Winter Olympics,Tokyo copies it the next olympic.
High-tech drones steal the show at the Winter Olympics,Koera..
High-tech drones steal the show at the Winter Olympics,Tokyo Corona Olympic 2021
High-tech drones steal the show at the Winter Olympics,Imagine having to plug in 1200 drones to recharge them
High-tech drones steal the show at the Winter Olympics,*North Korea takes notice*
High-tech drones steal the show at the Winter Olympics,"평창동계올림픽 ㄹㅇ 추억이다.
지금 도쿄는 픽토그램, 김제덕과 안산의 막내 양궁
도 래전드였지만
ㄹㅇ 평창은 88서울 올림픽 그 다음으로 레전드 레게노였다.
크으!"
High-tech drones steal the show at the Winter Olympics,"Damm Japan's TOKYO Olympics r worse than 2018 pyeongchang Olympics...
Korea... amazing"
High-tech drones steal the show at the Winter Olympics,How about Tokyo…lol
High-tech drones steal the show at the Winter Olympics,That’s crazy. My first time seeing anything like this was last night and I think it’s absolutely incredible!
High-tech drones steal the show at the Winter Olympics,He said less than 2 people can control the 1000 plus drones at one time...does he mean to say one person??
High-tech drones steal the show at the Winter Olympics,Whos here to see some satanic symbolism.
High-tech drones steal the show at the Winter Olympics,That wicked
High-tech drones steal the show at the Winter Olympics,PyeonchAng! Not PyeongchEng! Jeeez
