Video Caption,Comment
美主持人疯狂找茬北京冬奥会，中国新疆棉运动服不保暖，运动员全程颤抖冻到昏厥，这次连美国人自己都看不下去了！#美主持人#北京冬奥会#中国新疆棉运动服#,"世界看中國！好？壞？你們放心去說,中國不在乎你們那一句,中國只知道把中國建設好,時間會給公正的回答！到時你後悔,己成了事實。"
美主持人疯狂找茬北京冬奥会，中国新疆棉运动服不保暖，运动员全程颤抖冻到昏厥，这次连美国人自己都看不下去了！#美主持人#北京冬奥会#中国新疆棉运动服#,美國人的智商很低的嗎？這些節目主持人居然還有生傳空間，更改比賽時間是主辦方說了算的嗎？美國人連這些常識都不知道？
美主持人疯狂找茬北京冬奥会，中国新疆棉运动服不保暖，运动员全程颤抖冻到昏厥，这次连美国人自己都看不下去了！#美主持人#北京冬奥会#中国新疆棉运动服#,这人有病。
美主持人疯狂找茬北京冬奥会，中国新疆棉运动服不保暖，运动员全程颤抖冻到昏厥，这次连美国人自己都看不下去了！#美主持人#北京冬奥会#中国新疆棉运动服#,"這美國佬聘請低能主持,可以合埋眼亂噏一通,當其他人係傻仔,真係冇能超級大國人材,怪不得就快衰落自由燈塔,🇺🇲🇺🇲🇺🇲🍌🍌🍌👍👍👍"
美主持人疯狂找茬北京冬奥会，中国新疆棉运动服不保暖，运动员全程颤抖冻到昏厥，这次连美国人自己都看不下去了！#美主持人#北京冬奥会#中国新疆棉运动服#,"Swedish athletes had problem with cold. But other athletes had no such problem, 
Maybe the Swede was not in shape.  Swedes are accustomed to cold weather,  how can they have problem 
with the cold? Western  reporters in this Olympic are only smear artists.  They don't report facts. 
Referees are from various countries, so athletes have no reason to complain."
美主持人疯狂找茬北京冬奥会，中国新疆棉运动服不保暖，运动员全程颤抖冻到昏厥，这次连美国人自己都看不下去了！#美主持人#北京冬奥会#中国新疆棉运动服#,中國錯在自己都不防小人.  都知道外國隨時都可能找碴，還不把證據都準備就緒⋯⋯ 沒有辦法， 要做爛好人的！
美主持人疯狂找茬北京冬奥会，中国新疆棉运动服不保暖，运动员全程颤抖冻到昏厥，这次连美国人自己都看不下去了！#美主持人#北京冬奥会#中国新疆棉运动服#,更改去夏天吧
美主持人疯狂找茬北京冬奥会，中国新疆棉运动服不保暖，运动员全程颤抖冻到昏厥，这次连美国人自己都看不下去了！#美主持人#北京冬奥会#中国新疆棉运动服#,最好等到0上20度的时候再比赛吧。
美主持人疯狂找茬北京冬奥会，中国新疆棉运动服不保暖，运动员全程颤抖冻到昏厥，这次连美国人自己都看不下去了！#美主持人#北京冬奥会#中国新疆棉运动服#,傾本美利堅，奈何自作賤？
美主持人疯狂找茬北京冬奥会，中国新疆棉运动服不保暖，运动员全程颤抖冻到昏厥，这次连美国人自己都看不下去了！#美主持人#北京冬奥会#中国新疆棉运动服#,美主持人很油條的言論。
美主持人疯狂找茬北京冬奥会，中国新疆棉运动服不保暖，运动员全程颤抖冻到昏厥，这次连美国人自己都看不下去了！#美主持人#北京冬奥会#中国新疆棉运动服#,这货的脑子让新冠病毒給吃了。
美主持人疯狂找茬北京冬奥会，中国新疆棉运动服不保暖，运动员全程颤抖冻到昏厥，这次连美国人自己都看不下去了！#美主持人#北京冬奥会#中国新疆棉运动服#,這美主持人簡直就是侮辱觀眾人們的智商。
