Video Caption,Comment
司马南： 西方政要缺席北京冬奥会，妒忌之火能烧化冰雪吗？,美国是抱定了中国不会批准他们官员的签证，打算排山倒海的痛批中国一顿。谁知事与愿违。只好灰溜溜的來了。
司马南： 西方政要缺席北京冬奥会，妒忌之火能烧化冰雪吗？,中国的安保要人盯人盯紧好看国的来者。
司马南： 西方政要缺席北京冬奥会，妒忌之火能烧化冰雪吗？,以后这个世界一定会分成二级化。中国仍需要30-50年来证明自己的大国实力！
司马南： 西方政要缺席北京冬奥会，妒忌之火能烧化冰雪吗？,"西方国家政要他们不来就不来呗，咱们也没邀请他们啊 😂
各国参赛运动员亲眼所见就是对中国人权，安全状况，科技水平最好的验证。
西方那帮酸政客不来也好，在家好好保护自己那脆弱的小心脏吧！来咱们这”第三世界”，”发展中国家”看奥运多”掉”他们的身份啊 😄😄"
司马南： 西方政要缺席北京冬奥会，妒忌之火能烧化冰雪吗？,只有它们 有着信心满满的拍着对方的见面 叫 “好好干”的地位时才会来，仇恨代表了咱进步了 它们接受不了
司马南： 西方政要缺席北京冬奥会，妒忌之火能烧化冰雪吗？,司马老师虎年\吉祥！欧美反华政客们的把戏终究是被拆穿，我曾经说过，有本事拜登和布林肯在美国机场把要参加北京冬奥会的美国选手们统统拦下，以表示他们抵制北京冬奥会的决心，事实是这些欧美政客们的反华的阴谋和阳谋都难以实现，人们逐渐看清了这些自我标榜民主的政客们的嘴脸。祝2022年北京冬奥会成功举办！祝中国越来越好！
司马南： 西方政要缺席北京冬奥会，妒忌之火能烧化冰雪吗？,"挑~~! 有錢搞冬奧做 Show, 不如用來賠償武漢肺炎全世界損失啦! 無聊!!"
司马南： 西方政要缺席北京冬奥会，妒忌之火能烧化冰雪吗？,期待明天的开幕式。他们爱来不来，别当回事。
司马南： 西方政要缺席北京冬奥会，妒忌之火能烧化冰雪吗？,忘記德國前領導喔！
司马南： 西方政要缺席北京冬奥会，妒忌之火能烧化冰雪吗？,祝您平安，健康;吉祥如意。
司马南： 西方政要缺席北京冬奥会，妒忌之火能烧化冰雪吗？,美國運動員收錢搗亂奧運，奧委會要處以重罰停賽，依俄羅斯處理方法，下屇奧運不得播國美國國歌。
司马南： 西方政要缺席北京冬奥会，妒忌之火能烧化冰雪吗？,2008年北京奧運時，美歐金融危機已蘊釀了一年，奧運舉辦之時，美國次貸危機浮現。奧運在8月底完滿結束，美國金融危機失控，9月美國政府已接管了兩房。很明顯當時歐美也感到暴風雨將來。
司马南： 西方政要缺席北京冬奥会，妒忌之火能烧化冰雪吗？,東升西降?😁😁😁
司马南： 西方政要缺席北京冬奥会，妒忌之火能烧化冰雪吗？,司马南恐怕也受了西方影響變了親西方了.
司马南： 西方政要缺席北京冬奥会，妒忌之火能烧化冰雪吗？,您可别逗了 😂😂😂
司马南： 西方政要缺席北京冬奥会，妒忌之火能烧化冰雪吗？,"司马南老师和网友说得对👍。外交上该强硬就强硬,横眉冷对千夫指💪。不要赏西方霸凌这个脸,不要给说了抵制又出尔反尔的霸凌国家发签证==中国岂是他们想来就来想不来就不来的？!"
司马南： 西方政要缺席北京冬奥会，妒忌之火能烧化冰雪吗？,美国有官员去吗？别在那里自己给自己脸上贴金了，这才叫赵阳了，这才叫阿q哈哈哈，然后说我们没邀请你们总会给自己找台阶下。什么叫阿q精神。这就是，哈哈哈。
司马南： 西方政要缺席北京冬奥会，妒忌之火能烧化冰雪吗？,"零八年，我们发展的非常得好，为什么那个时候西方国家为什么不造谣搞事情来的字？为什么这次就搞事情抵制？分明是因为你中国的确做了很多侵犯人权的事情，比如香港的反送中2,000,000香港人上街游行。强行推行国安法关闭民主派的报刊杂志。新疆办了很多的共产党自己都承认的维吾尔族的学习技能的改造营，新疆层层设防，一般的人去莘庄检查，非常严格，等等这些东西你不先做这些事情，西方国家怎么会突然抵制呢？毛泽东以前说过世界上没有事情是无缘无故的，所以你从来不检讨自己什么时候都是把责任推到外面说人家嫉妒你这样你永远没有进步一意孤行。"
司马南： 西方政要缺席北京冬奥会，妒忌之火能烧化冰雪吗？,最主要的您没说“它们没脸来，它们没胆来”！顺祝司马南先生及所有同胞春节快乐🧨虎年大吉大利🎉
司马南： 西方政要缺席北京冬奥会，妒忌之火能烧化冰雪吗？,因为中国超越他们了！！！
