Video Caption,Comment
(附字幕) 李彤「外交短評」外國選手真實體驗，讓世界更加了解中國。德國男子冰球隊隊長：鼓噪“抵制冬奧”是虛偽的政治作秀。 22年2月1日,👍👍👍正能量💪💪💪
(附字幕) 李彤「外交短評」外國選手真實體驗，讓世界更加了解中國。德國男子冰球隊隊長：鼓噪“抵制冬奧”是虛偽的政治作秀。 22年2月1日,👍👍
(附字幕) 李彤「外交短評」外國選手真實體驗，讓世界更加了解中國。德國男子冰球隊隊長：鼓噪“抵制冬奧”是虛偽的政治作秀。 22年2月1日,你班港燦轉得夠快~黑怖時無灑聲
(附字幕) 李彤「外交短評」外國選手真實體驗，讓世界更加了解中國。德國男子冰球隊隊長：鼓噪“抵制冬奧”是虛偽的政治作秀。 22年2月1日,"中國送Samsung,盡顯大國風範"
(附字幕) 李彤「外交短評」外國選手真實體驗，讓世界更加了解中國。德國男子冰球隊隊長：鼓噪“抵制冬奧”是虛偽的政治作秀。 22年2月1日,👍👍👍👏👏👏
(附字幕) 李彤「外交短評」外國選手真實體驗，讓世界更加了解中國。德國男子冰球隊隊長：鼓噪“抵制冬奧”是虛偽的政治作秀。 22年2月1日,抵制冬奥， 是一种沒胆的行为.全世界也只有拜登这个糟老头才做得出，虚伪，再加上脸皮够厚，这就是美国人的像征!
(附字幕) 李彤「外交短評」外國選手真實體驗，讓世界更加了解中國。德國男子冰球隊隊長：鼓噪“抵制冬奧”是虛偽的政治作秀。 22年2月1日,李彤小姐新年好。北京冬奧是中国人嘅光榮，謝謝詳细的分析。
(附字幕) 李彤「外交短評」外國選手真實體驗，讓世界更加了解中國。德國男子冰球隊隊長：鼓噪“抵制冬奧”是虛偽的政治作秀。 22年2月1日,Well said prepared presented remarked and commented
(附字幕) 李彤「外交短評」外國選手真實體驗，讓世界更加了解中國。德國男子冰球隊隊長：鼓噪“抵制冬奧”是虛偽的政治作秀。 22年2月1日,支持盧永雄.李彤.支持巴士的報 阿傑  尚風巴士的報非常真誠中肯的分析報道政府部門應該要多留意支持盧社長詳盡分享支持巴士的報兩位主持人支持李彤總編輯導國際時事智訊分享巴士的報做得非常之好努力為我們服務
(附字幕) 李彤「外交短評」外國選手真實體驗，讓世界更加了解中國。德國男子冰球隊隊長：鼓噪“抵制冬奧”是虛偽的政治作秀。 22年2月1日,事實證明，中國一定強！
(附字幕) 李彤「外交短評」外國選手真實體驗，讓世界更加了解中國。德國男子冰球隊隊長：鼓噪“抵制冬奧”是虛偽的政治作秀。 22年2月1日,"李小姐人美聲甜。報導資料豐富。感恩你。喜见報導方式也日益進步。

如果能放鬆一下，用自然發聲法，更完美了。因背書式報導，聽眾難抓重點（尤其一些較長句子），讀和聽雙方都帶壓迫感。"
(附字幕) 李彤「外交短評」外國選手真實體驗，讓世界更加了解中國。德國男子冰球隊隊長：鼓噪“抵制冬奧”是虛偽的政治作秀。 22年2月1日,新年快乐新年快乐主持人好。
(附字幕) 李彤「外交短評」外國選手真實體驗，讓世界更加了解中國。德國男子冰球隊隊長：鼓噪“抵制冬奧”是虛偽的政治作秀。 22年2月1日,支持李彤
(附字幕) 李彤「外交短評」外國選手真實體驗，讓世界更加了解中國。德國男子冰球隊隊長：鼓噪“抵制冬奧”是虛偽的政治作秀。 22年2月1日,中国共产党万岁！
