Video Caption,Comment
外國人看冬奧會開幕式，日本網友：北京冬奧比東京奧運會好10萬倍,羨慕張藝謀為國家立了不朽功勞👍
外國人看冬奧會開幕式，日本網友：北京冬奧比東京奧運會好10萬倍,其實日本網友就是留日中國人現時大约有一百萬人左右他們的評論没有太大意義
外國人看冬奧會開幕式，日本網友：北京冬奧比東京奧運會好10萬倍,"双奥北京,荣耀世界！"
外國人看冬奧會開幕式，日本網友：北京冬奧比東京奧運會好10萬倍,六盘山上高峰，红旗漫卷西风。
外國人看冬奧會開幕式，日本網友：北京冬奧比東京奧運會好10萬倍,"你只要正能量 處處為人民著想
誰抹黑你 都沒用  
北京奧運會 勝利召開 中國萬歲
🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳"
外國人看冬奧會開幕式，日本網友：北京冬奧比東京奧運會好10萬倍,"挑~~! 有錢搞冬奧做Show, 不如用來賠償武漢肺炎全世界損失啦! 無聊!!"
外國人看冬奧會開幕式，日本網友：北京冬奧比東京奧運會好10萬倍,"紐約有上海高樓多嗎？繁華嗎？
我進地鐵時以為紐約人有良好的閱讀習慣、手上都拿著一份報紙或雜誌、原來紐約地鐵: 沒冷氣、沒網絡、破敗、慢、操音。
一句話落後。
深圳付款都人臉識別了。停車埸全部手機支付了。
沒有手機支付妳的車還齣不來、因為:全部電子支付、沒有人手收費的。"
外國人看冬奧會開幕式，日本網友：北京冬奧比東京奧運會好10萬倍,韩国金爱吃，超可爱。
外國人看冬奧會開幕式，日本網友：北京冬奧比東京奧運會好10萬倍,祖國萬歲
外國人看冬奧會開幕式，日本網友：北京冬奧比東京奧運會好10萬倍,台毒及西方那些異族快出來抹黑中共...
外國人看冬奧會開幕式，日本網友：北京冬奧比東京奧運會好10萬倍,日 韩就是羡慕 嫉妒恨 小肚鸡肠 国家小 心眼小。
外國人看冬奧會開幕式，日本網友：北京冬奧比東京奧運會好10萬倍,在中國，衹看到進步和友愛，西方的「種族滅絕」論是彌天大謊，智商低下的白癡才會信！
外國人看冬奧會開幕式，日本網友：北京冬奧比東京奧運會好10萬倍,不可否认 印度上学比中国便宜
外國人看冬奧會開幕式，日本網友：北京冬奧比東京奧運會好10萬倍,Good Job and Support :)   Bravo to China Rise Peacefully and be Strong :) :)
外國人看冬奧會開幕式，日本網友：北京冬奧比東京奧運會好10萬倍,真实的祖国情况，不怀好意的人抹黑也是失败的。
外國人看冬奧會開幕式，日本網友：北京冬奧比東京奧運會好10萬倍,中華民族萬萬歳！🇨🇳🎉🎈🌹🎂🎁🎈🎉🇨🇳
外國人看冬奧會開幕式，日本網友：北京冬奧比東京奧運會好10萬倍,偉大富強和平仁愛的中國👍👍👍💪😘😘😘
