Video Caption,Comment
瑞典运动员的冬奥Vlog：试吃零食、点赞赛道,回国了就说中国人权，一群渣渣。
瑞典运动员的冬奥Vlog：试吃零食、点赞赛道,Great to hear it! Wish you all the best!
瑞典运动员的冬奥Vlog：试吃零食、点赞赛道,Tackar så mycket.
瑞典运动员的冬奥Vlog：试吃零食、点赞赛道,五毛黨很快就滲透到全世界😂😂😂
瑞典运动员的冬奥Vlog：试吃零食、点赞赛道,只想对所有的运动员说  享受比赛 享受这次旅程
瑞典运动员的冬奥Vlog：试吃零食、点赞赛道,我一直好奇，运动员不需要注意饮食吗？看他们的视频，甜的咸的，零嘴饮料随便吃喝，我这个普通人都不敢这么吃😂😂😂😂
瑞典运动员的冬奥Vlog：试吃零食、点赞赛道,😁💪💪❤❤😁
瑞典运动员的冬奥Vlog：试吃零食、点赞赛道,Det var kul! Lycka till!😊 Jag saknar Kina. 🥺
瑞典运动员的冬奥Vlog：试吃零食、点赞赛道,现在知道外媒为什么不想让运动员带手机去了吧
瑞典运动员的冬奥Vlog：试吃零食、点赞赛道,你们背景音乐一定要调的这么吵吗？真的很烦人，重点是要视频的内容不是背景音乐，要不然就不叫背景音乐了，真是喧宾夺主。
瑞典运动员的冬奥Vlog：试吃零食、点赞赛道,瑞典加油！
瑞典运动员的冬奥Vlog：试吃零食、点赞赛道,"东京奥运会 都没看到运动员发什么视频 
台湾媒体说中国不自由 笑死了 看看北京冬奥 运动员都发视频  
东京奥运会都没怎么发"
瑞典运动员的冬奥Vlog：试吃零食、点赞赛道,比金钱豹好吃吗
瑞典运动员的冬奥Vlog：试吃零食、点赞赛道,可耻的中共邪恶，利用美国言论自由，五毛粉红大量渗透美国媒体。虐待人民七十年，一个月六亿人一千块收入。
瑞典运动员的冬奥Vlog：试吃零食、点赞赛道,👍👍👍👍👍👍👍👍👍
瑞典运动员的冬奥Vlog：试吃零食、点赞赛道,welcome
瑞典运动员的冬奥Vlog：试吃零食、点赞赛道,😁運動員的拍攝出來的視頻比外國記者拍攝得更加真實。非常感謝分享💐
瑞典运动员的冬奥Vlog：试吃零食、点赞赛道,真是很认真地在分享😄
瑞典运动员的冬奥Vlog：试吃零食、点赞赛道,🤩Miam
瑞典运动员的冬奥Vlog：试吃零食、点赞赛道,一般餐牌或食物旁边都应该要有中英文注明，食物内包含某些材料。方便对食物敏感人仕的一选择。
