Video Caption,Comment
美國記者在北京冬奧滑雪賽道拍下一段視頻火爆全網！有幾十條龍在吹雪！外國運動員驚呼：中國是咋做到的！？,👍👍👏👏💪💪❤️❤️💯💯⛽⛽🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳
美國記者在北京冬奧滑雪賽道拍下一段視頻火爆全網！有幾十條龍在吹雪！外國運動員驚呼：中國是咋做到的！？,批评人造雪真是够low的，为了反华，西方媒体都快精神分裂了
美國記者在北京冬奧滑雪賽道拍下一段視頻火爆全網！有幾十條龍在吹雪！外國運動員驚呼：中國是咋做到的！？,中國加油
美國記者在北京冬奧滑雪賽道拍下一段視頻火爆全網！有幾十條龍在吹雪！外國運動員驚呼：中國是咋做到的！？,"Marc Andreesen is an idiot. He couldn't tell the difference between a cooling tower and nuclear power plant?
He couldn't apologize because he'd be laughed at. Sad pathetic ignoramus."
美國記者在北京冬奧滑雪賽道拍下一段視頻火爆全網！有幾十條龍在吹雪！外國運動員驚呼：中國是咋做到的！？,我真不明白，为什么中国为世界运动员创造了这么好的条件，吃得好，住得好，热情好客，为什么还是極力抹黑没感恩之心？ 中国到底怎么得罪了你？還不如一條狗 ，如果是狗它還会摇尾巴呢！
美國記者在北京冬奧滑雪賽道拍下一段視頻火爆全網！有幾十條龍在吹雪！外國運動員驚呼：中國是咋做到的！？,美国记者除了造谣，还是造谣，只会造谣😱😱😱👎👎👎😱😱😱👎👎👎不论怎样造谣，美国还是落后，只能落后，造谣是阻挡不住中国的前进!更加前进!永往直前👍👍👍🌹🌹🌹💪💪💪❤❤❤
美國記者在北京冬奧滑雪賽道拍下一段視頻火爆全網！有幾十條龍在吹雪！外國運動員驚呼：中國是咋做到的！？,首先，我最痛恨那些閉眼睜眼都在說瞎話的東西，對這些罹患了政治失心瘋的非善之類，永遠別讓他們得到入境中國的簽證。其次，說瞎話的東西們：別以為你們是媒體的菁英，其實都是被白宮、國務院與五角大樓愚弄的蠢貨。
美國記者在北京冬奧滑雪賽道拍下一段視頻火爆全網！有幾十條龍在吹雪！外國運動員驚呼：中國是咋做到的！？,"Strained water supply? lmfao!
Did they think they are in Vegas? That's what I call straining.. the whole fecking area to feed Vegas! Never mind about enviromental, gambling money taxed good!"
美國記者在北京冬奧滑雪賽道拍下一段視頻火爆全網！有幾十條龍在吹雪！外國運動員驚呼：中國是咋做到的！？,西方政客傳媒專門愚弄詐騙自己的人民
美國記者在北京冬奧滑雪賽道拍下一段視頻火爆全網！有幾十條龍在吹雪！外國運動員驚呼：中國是咋做到的！？,感謝大家的分享謝謝
美國記者在北京冬奧滑雪賽道拍下一段視頻火爆全網！有幾十條龍在吹雪！外國運動員驚呼：中國是咋做到的！？,"Ignorant provocateur. The stacks are cooling towers,  not nuclear facilities. 
What a fool. He embarassed himself to the entire world.  What a fool!"
美國記者在北京冬奧滑雪賽道拍下一段視頻火爆全網！有幾十條龍在吹雪！外國運動員驚呼：中國是咋做到的！？,"美国记者与美国政府一样阴阳怪气的，不懂环保，不懂再利用。纯属装怪，不必理他。
中国不能买美国黄豆，小麦，牛肉。因为可能含有致癌之物。"
美國記者在北京冬奧滑雪賽道拍下一段視頻火爆全網！有幾十條龍在吹雪！外國運動員驚呼：中國是咋做到的！？,👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳
美國記者在北京冬奧滑雪賽道拍下一段視頻火爆全網！有幾十條龍在吹雪！外國運動員驚呼：中國是咋做到的！？,"没对比就没伤害，认了吧化外民😩
有对比才有傲气，不用吧中国人❤"
美國記者在北京冬奧滑雪賽道拍下一段視頻火爆全網！有幾十條龍在吹雪！外國運動員驚呼：中國是咋做到的！？,出钱买难受
美國記者在北京冬奧滑雪賽道拍下一段視頻火爆全網！有幾十條龍在吹雪！外國運動員驚呼：中國是咋做到的！？,"Aoran
Aoji is the only thing I sidkdjsjskskellekfjfkjgjghgjjgjgjjbkgjbjgjtiyuyiruriiuuehuyfdddcxdxxxdxzzzyztzttzttztsttztzttztzttztzrtztzttzrzrztttstst"
美國記者在北京冬奧滑雪賽道拍下一段視頻火爆全網！有幾十條龍在吹雪！外國運動員驚呼：中國是咋做到的！？,在一些人的眼睛里，中国🇨🇳做什么都是错的，任凭他们说吧。中国🇨🇳走自己的路，实力证明一切，中国🇨🇳的发展，中国🇨🇳的巨大变化，中国人民的美好未来谁也无法阻挡，这就是硬道理！㊗️祖国繁荣昌盛，国泰民安，风调雨顺！加油💪！
美國記者在北京冬奧滑雪賽道拍下一段視頻火爆全網！有幾十條龍在吹雪！外國運動員驚呼：中國是咋做到的！？,中国就是顶瓜瓜!超能!我💕我的祖国!!
美國記者在北京冬奧滑雪賽道拍下一段視頻火爆全網！有幾十條龍在吹雪！外國運動員驚呼：中國是咋做到的！？,🤗❤👍👍👍👍👍👍❤🤗
美國記者在北京冬奧滑雪賽道拍下一段視頻火爆全網！有幾十條龍在吹雪！外國運動員驚呼：中國是咋做到的！？,首钢滑雪大跳台以后每年冬天能维持使用吗？如果能，肯定能吸引世界各地的许多运动员前来训练。
