Video Caption,Comment
【罗宾周末聊】儿子看冬奥会开幕式，我来直播,一个在疫情期间的活动居然没有新冠肺炎元素，只能说太虚假，太故作无关了，这证明了新冠是中国始作俑者。一个想脱离事实的活动就是空洞、掩盖、无耻和虚假。
【罗宾周末聊】儿子看冬奥会开幕式，我来直播,刚搞明白 ，你面前放的是东奥残奥会的 东西 。
【罗宾周末聊】儿子看冬奥会开幕式，我来直播,台灣之前就很多人在吐糟中國男足，都是官二代，專門吸中國運動資金，全是軟腳蝦!!!沒想到中國官二代這麼廢!!是中國發展拖後腿的!!!🤣🤣🤣
【罗宾周末聊】儿子看冬奥会开幕式，我来直播,罗宾既然人在国内还要剑走偏锋，拿头往枪口上撞吗。你家在国内哪怕够不上中产也是小康之家了，话里话外好像还和体制沾点边，这是受了天大的委屈了？一天天的阴阳怪气🙄
【罗宾周末聊】儿子看冬奥会开幕式，我来直播,这个开幕式和可老贵哟，摊每个人身上好几千块钱呢，可不是免费的哟，呵呵😎顺便说下，这玩偶丑到哭😂
【罗宾周末聊】儿子看冬奥会开幕式，我来直播,要求关聊天显示的是不是都是手机平板上看的啊？直播放聊天记录多好啊！一些傻逼非要求关了，这下看直播的时候没法看聊天记录了。电视上没有聊天记录看
【罗宾周末聊】儿子看冬奥会开幕式，我来直播,新疆 视频国内西瓜 和头条不让上 ，那不正好说明有鬼了吗 ？
【罗宾周末聊】儿子看冬奥会开幕式，我来直播,从来不看大👖里拉出来的💩🤮
【罗宾周末聊】儿子看冬奥会开幕式，我来直播,今天的直播听着很感伤呀😄
【罗宾周末聊】儿子看冬奥会开幕式，我来直播,我以为是直播开幕式
【罗宾周末聊】儿子看冬奥会开幕式，我来直播,到处找开幕式，这里有看吗？
【罗宾周末聊】儿子看冬奥会开幕式，我来直播,支持别弄会员 徒加压力给自己 喜欢你的咋都喜欢你 没有会员制是能更细水长流的方式
【罗宾周末聊】儿子看冬奥会开幕式，我来直播,为中国人民的福祉，高唱“塞北的雪”，献给冬眠会。
【罗宾周末聊】儿子看冬奥会开幕式，我来直播,罗宾 不知你对足球热情如何？希望你能  重新直播大年初一那场让国人无比自豪 歌唱祖国傲视全球的 球赛 。中国 - 越南 。
【罗宾周末聊】儿子看冬奥会开幕式，我来直播,肚子大是胰岛素抵抗引起的 运动是下不去的🤣 你可以去了解一下间歇性断食和keto
【罗宾周末聊】儿子看冬奥会开幕式，我来直播,油管舆论环境要好太多了 虽然也有键盘侠，但是和国内不能比，国内太多人已经失去独立思考的能力了
【罗宾周末聊】儿子看冬奥会开幕式，我来直播,感觉你痴迷直播噢🤣
【罗宾周末聊】儿子看冬奥会开幕式，我来直播,一场世界体育盛事被操弄成充满谎言，欺骗，利益交易的政治闹剧。
【罗宾周末聊】儿子看冬奥会开幕式，我来直播,Who cares The winter Olympics
【罗宾周末聊】儿子看冬奥会开幕式，我来直播,晚安💤
