Video Caption,Comment
⛸️❄️北京冬奧村伙食到底有多讚？真的像外媒所說難吃到欲哭無淚？🍴🍜各國運動員轉型「吃播」，意外走紅！在線饞哭了：好吃到不想回家了！把馬桶都吃堵了？！😱🥟🍔🍗🍕🍖🥞🍰🍨🍛🍇,韩国运动员？算了吧，他们只吃自己的食物，很扁食的。记得我带队去国际赛事那段时光，其他国家的运动员都对主办方，酒店的餐食没意见，甚至觉得很好吃，也很健康。就韩国的运动员每餐都带自备的泡菜和一些有“怪味”的淹制食物。他们都不像我们，喜欢尝试别人的美食。
⛸️❄️北京冬奧村伙食到底有多讚？真的像外媒所說難吃到欲哭無淚？🍴🍜各國運動員轉型「吃播」，意外走紅！在線饞哭了：好吃到不想回家了！把馬桶都吃堵了？！😱🥟🍔🍗🍕🍖🥞🍰🍨🍛🍇,韓國醜陋眾生相，沒可談的價值。
⛸️❄️北京冬奧村伙食到底有多讚？真的像外媒所說難吃到欲哭無淚？🍴🍜各國運動員轉型「吃播」，意外走紅！在線饞哭了：好吃到不想回家了！把馬桶都吃堵了？！😱🥟🍔🍗🍕🍖🥞🍰🍨🍛🍇,"没有办法 韩国运动员穷 为了拿某国的""搞事金"" 所以才恶意攻击冬奥食品"
⛸️❄️北京冬奧村伙食到底有多讚？真的像外媒所說難吃到欲哭無淚？🍴🍜各國運動員轉型「吃播」，意外走紅！在線饞哭了：好吃到不想回家了！把馬桶都吃堵了？！😱🥟🍔🍗🍕🍖🥞🍰🍨🍛🍇,"韩国人【自命不凡】都不如乞丐 ！不会珍惜食物 ！傲慢又自大的韩国人，
回国吃【猪屎饭】，【狗屎饼】，【猫屎糕】会更好更适合 ！
只有最愚蠢的韩国人才会【乱指一通】，【胡乱放屁】低能思考的民族 ！"
⛸️❄️北京冬奧村伙食到底有多讚？真的像外媒所說難吃到欲哭無淚？🍴🍜各國運動員轉型「吃播」，意外走紅！在線饞哭了：好吃到不想回家了！把馬桶都吃堵了？！😱🥟🍔🍗🍕🍖🥞🍰🍨🍛🍇,😂食到佢哋變肥仔肥妹。
⛸️❄️北京冬奧村伙食到底有多讚？真的像外媒所說難吃到欲哭無淚？🍴🍜各國運動員轉型「吃播」，意外走紅！在線饞哭了：好吃到不想回家了！把馬桶都吃堵了？！😱🥟🍔🍗🍕🍖🥞🍰🍨🍛🍇,好想回家吃泡菜，是吗！？找茬也不用这么明显吧！
⛸️❄️北京冬奧村伙食到底有多讚？真的像外媒所說難吃到欲哭無淚？🍴🍜各國運動員轉型「吃播」，意外走紅！在線饞哭了：好吃到不想回家了！把馬桶都吃堵了？！😱🥟🍔🍗🍕🍖🥞🍰🍨🍛🍇,这次算是见识了韩国人的素质，韩国人的素质之低真得是跌破大家的眼镜啊，输不起就不要去比赛。
⛸️❄️北京冬奧村伙食到底有多讚？真的像外媒所說難吃到欲哭無淚？🍴🍜各國運動員轉型「吃播」，意外走紅！在線饞哭了：好吃到不想回家了！把馬桶都吃堵了？！😱🥟🍔🍗🍕🍖🥞🍰🍨🍛🍇,棒子就只配吃菜梆子
⛸️❄️北京冬奧村伙食到底有多讚？真的像外媒所說難吃到欲哭無淚？🍴🍜各國運動員轉型「吃播」，意外走紅！在線饞哭了：好吃到不想回家了！把馬桶都吃堵了？！😱🥟🍔🍗🍕🍖🥞🍰🍨🍛🍇,mark
⛸️❄️北京冬奧村伙食到底有多讚？真的像外媒所說難吃到欲哭無淚？🍴🍜各國運動員轉型「吃播」，意外走紅！在線饞哭了：好吃到不想回家了！把馬桶都吃堵了？！😱🥟🍔🍗🍕🍖🥞🍰🍨🍛🍇,韩国太好了，宇宙第一，金三胖宇宙第二。
