Video Caption,Comment
北京冬奧會開幕了！看看日本人怎麼拿這次開幕式和東京相比,👍👍👍
北京冬奧會開幕了！看看日本人怎麼拿這次開幕式和東京相比,蛙蛙才是世界第一。如果举办应该震撼全世界。宇宙
北京冬奧會開幕了！看看日本人怎麼拿這次開幕式和東京相比,这种大型活动最能体现国力
北京冬奧會開幕了！看看日本人怎麼拿這次開幕式和東京相比,感谢日本小姐姐对中国大陆的肯定！
北京冬奧會開幕了！看看日本人怎麼拿這次開幕式和東京相比,"日本人的視覺美感確是比較強的, 能客觀地作出分析"
北京冬奧會開幕了！看看日本人怎麼拿這次開幕式和東京相比,可爱
北京冬奧會開幕了！看看日本人怎麼拿這次開幕式和東京相比,东京奥运因为疫情影响延后，多次更换总导演肯定对开幕式造成重大影响。很开心日本网友的喜欢❤️❤️❤️❤️
北京冬奧會開幕了！看看日本人怎麼拿這次開幕式和東京相比,"相較於部份台灣人不敢面對現實，只能靠挑撥仇恨掩飾自卑
日本人表現出的是勇於面對的自信
塔綠班應該好好的向你們的老子學習"
北京冬奧會開幕了！看看日本人怎麼拿這次開幕式和東京相比,说花费不大的，东京奥运期间，职员工资的新闻最好能去看一下，一个没什么用的病毒检测APP花费都比奥运投入的多，原本东奥可以更好的，但是里面太多潜规则，导致整个导演策划全部退出换了一批
北京冬奧會開幕了！看看日本人怎麼拿這次開幕式和東京相比,"挑~~! 有錢搞冬奧做Show, 不如用來賠償武漢肺炎全世界損失啦! 無聊!!"
北京冬奧會開幕了！看看日本人怎麼拿這次開幕式和東京相比,希望所有政客要以人民為本，不要一己之利破壞世界和平，合作共贏才是根本，逆流而上必先亡。
北京冬奧會開幕了！看看日本人怎麼拿這次開幕式和東京相比,"Well done, a very nice and clearly high quality clip. Please keep it up."
北京冬奧會開幕了！看看日本人怎麼拿這次開幕式和東京相比,感谢谢你的分享！🙏🙏
北京冬奧會開幕了！看看日本人怎麼拿這次開幕式和東京相比,"由徐州八孩深入追究，中國是全世界販賣人口最嚴重，也是中國政府默許的，為什麼，因為中國人民窮阿。
https://www.youtube.com/watch?v=RvgCfjREyas"
北京冬奧會開幕了！看看日本人怎麼拿這次開幕式和東京相比,谢谢Yuna的报道。其实这两年的夏季和冬季奥运会都是在全球疫情严重、障碍重重、未知数很多的情况下举行的，其难度可想而知。同样作为亚洲人、东方人，我想在我们的传统文化里，都有体谅和感谢对方付出努力的修养和思想基因。让我们互相砥砺，互相支持，互相欣赏。:)
北京冬奧會開幕了！看看日本人怎麼拿這次開幕式和東京相比,大概日本朋友不知道的是北京的开幕式的花费东京是无法相比的，在同样花费的前提下比较创意才是有意义的比较，不然就没有可比性了。
北京冬奧會開幕了！看看日本人怎麼拿這次開幕式和東京相比,日本人有素质没问题，你知道中国人在墙内怎么骂你们日本，骂你们日本人，骂你们东奥开幕式？出征日本选手，可不是韩国人台湾人在陷害他们，不值得同情
北京冬奧會開幕了！看看日本人怎麼拿這次開幕式和東京相比,北京冬奥会就是一场政治奥运会，什么一个也不能少，维吾尔族火炬手，中印冲突士兵火炬手，处处透露出一个纳粹独裁政府的思维方式
北京冬奧會開幕了！看看日本人怎麼拿這次開幕式和東京相比,奧運五環的出現，真的深深的印在腦海裡。
北京冬奧會開幕了！看看日本人怎麼拿這次開幕式和東京相比,"ありがとう❤️ゆなさん…登録
大家訂閲一下♥"
