Video Caption,Comment
韩国冬奥冠军宣布，弃韩从中 加入中国国籍！痛骂韩国靠肮脏手段取胜，不公平待遇，凌辱队员，不干净的金牌 不要也罢！#韩国短道速滑#北京冬奥#,這種人這種德行，就算入籍了你以為是好事？只要有才便可以無德？
韩国冬奥冠军宣布，弃韩从中 加入中国国籍！痛骂韩国靠肮脏手段取胜，不公平待遇，凌辱队员，不干净的金牌 不要也罢！#韩国短道速滑#北京冬奥#,無國界運動加入政治議题..就是其臭無比的一團Ｃ....
韩国冬奥冠军宣布，弃韩从中 加入中国国籍！痛骂韩国靠肮脏手段取胜，不公平待遇，凌辱队员，不干净的金牌 不要也罢！#韩国短道速滑#北京冬奥#,中文不太好的样子。。。
韩国冬奥冠军宣布，弃韩从中 加入中国国籍！痛骂韩国靠肮脏手段取胜，不公平待遇，凌辱队员，不干净的金牌 不要也罢！#韩国短道速滑#北京冬奥#,加入中国国籍难道如此随便吗？！这是不是有给异族异化汉人开口子之嫌...
韩国冬奥冠军宣布，弃韩从中 加入中国国籍！痛骂韩国靠肮脏手段取胜，不公平待遇，凌辱队员，不干净的金牌 不要也罢！#韩国短道速滑#北京冬奥#,泡菜国家
韩国冬奥冠军宣布，弃韩从中 加入中国国籍！痛骂韩国靠肮脏手段取胜，不公平待遇，凌辱队员，不干净的金牌 不要也罢！#韩国短道速滑#北京冬奥#,这不是裁判惯的吗？裁判也不是好东西
韩国冬奥冠军宣布，弃韩从中 加入中国国籍！痛骂韩国靠肮脏手段取胜，不公平待遇，凌辱队员，不干净的金牌 不要也罢！#韩国短道速滑#北京冬奥#,准备开吹，哈哈
韩国冬奥冠军宣布，弃韩从中 加入中国国籍！痛骂韩国靠肮脏手段取胜，不公平待遇，凌辱队员，不干净的金牌 不要也罢！#韩国短道速滑#北京冬奥#,给林孝孝俊 点赞!
韩国冬奥冠军宣布，弃韩从中 加入中国国籍！痛骂韩国靠肮脏手段取胜，不公平待遇，凌辱队员，不干净的金牌 不要也罢！#韩国短道速滑#北京冬奥#,사고치고 중국으로 틤 ㅎㅎ
韩国冬奥冠军宣布，弃韩从中 加入中国国籍！痛骂韩国靠肮脏手段取胜，不公平待遇，凌辱队员，不干净的金牌 不要也罢！#韩国短道速滑#北京冬奥#,请写下对韩国和日本好奇或想问的主题 ☺️
韩国冬奥冠军宣布，弃韩从中 加入中国国籍！痛骂韩国靠肮脏手段取胜，不公平待遇，凌辱队员，不干净的金牌 不要也罢！#韩国短道速滑#北京冬奥#,Little Korean
韩国冬奥冠军宣布，弃韩从中 加入中国国籍！痛骂韩国靠肮脏手段取胜，不公平待遇，凌辱队员，不干净的金牌 不要也罢！#韩国短道速滑#北京冬奥#,無恥黃呀！
韩国冬奥冠军宣布，弃韩从中 加入中国国籍！痛骂韩国靠肮脏手段取胜，不公平待遇，凌辱队员，不干净的金牌 不要也罢！#韩国短道速滑#北京冬奥#,THE SKY HAVE EYES WILL PUNISHED ALL THE EVILS ONES JUSTMENT DAY WILL ARRIVED.
韩国冬奥冠军宣布，弃韩从中 加入中国国籍！痛骂韩国靠肮脏手段取胜，不公平待遇，凌辱队员，不干净的金牌 不要也罢！#韩国短道速滑#北京冬奥#,韩国运动员只有拿了金牌才能免服兵役，所以教练各自组成山头培训运动员，同时要求已经拿牌的老运动员故意输给新人或者直接退役。
韩国冬奥冠军宣布，弃韩从中 加入中国国籍！痛骂韩国靠肮脏手段取胜，不公平待遇，凌辱队员，不干净的金牌 不要也罢！#韩国短道速滑#北京冬奥#,林孝jun名字写错了，他以前是韩国人的时候叫林孝俊，现在加入中国后是叫林孝埈。这个很多人都搞错了，详细可以看维基百科。
韩国冬奥冠军宣布，弃韩从中 加入中国国籍！痛骂韩国靠肮脏手段取胜，不公平待遇，凌辱队员，不干净的金牌 不要也罢！#韩国短道速滑#北京冬奥#,扒人裤子还有理了？
韩国冬奥冠军宣布，弃韩从中 加入中国国籍！痛骂韩国靠肮脏手段取胜，不公平待遇，凌辱队员，不干净的金牌 不要也罢！#韩国短道速滑#北京冬奥#,这都什么时候的事啊？
韩国冬奥冠军宣布，弃韩从中 加入中国国籍！痛骂韩国靠肮脏手段取胜，不公平待遇，凌辱队员，不干净的金牌 不要也罢！#韩国短道速滑#北京冬奥#,韓國人的民族性就是為達目的，就用盡不擇手段很無恥的行径，在運動場上尤爲明顯，更無恥的是近年來韓國企業在東南亞投資，許多在當地工作的韓國年輕人，把當地女人搞大肚子已後抛棄置之不理，而且這種案件還非常多，所以像這樣的民族强盛了，對這個世界是没有多大的貢獻了。
韩国冬奥冠军宣布，弃韩从中 加入中国国籍！痛骂韩国靠肮脏手段取胜，不公平待遇，凌辱队员，不干净的金牌 不要也罢！#韩国短道速滑#北京冬奥#,世界不应再在中国进行所有体育运动。 虽然是大国，但他们所做的只是一个小国，他们很快就会灭亡。 我的意思是，每个人都会死。
韩国冬奥冠军宣布，弃韩从中 加入中国国籍！痛骂韩国靠肮脏手段取胜，不公平待遇，凌辱队员，不干净的金牌 不要也罢！#韩国短道速滑#北京冬奥#,完全是一个机械人播放操作，乱作假新闻……丢中国人的脸！
