Video Caption,Comment
今夜 这个女人燃爆整个冬奥！为中国拿下77块金牌！却被国家队开除三次，这一幕让世界沸腾了，载入历史！#北京冬奥会#王濛#短道速滑#,王濛是女孩子？
今夜 这个女人燃爆整个冬奥！为中国拿下77块金牌！却被国家队开除三次，这一幕让世界沸腾了，载入历史！#北京冬奥会#王濛#短道速滑#,又是你淋漓尽致的说。。。
今夜 这个女人燃爆整个冬奥！为中国拿下77块金牌！却被国家队开除三次，这一幕让世界沸腾了，载入历史！#北京冬奥会#王濛#短道速滑#,王濛真的是短道速滑界霸主。獲得世界級比賽獎牌，尤其是金牌最多的女選手。超級優秀，偶像。
今夜 这个女人燃爆整个冬奥！为中国拿下77块金牌！却被国家队开除三次，这一幕让世界沸腾了，载入历史！#北京冬奥会#王濛#短道速滑#,传奇人物，可以拍电影了
今夜 这个女人燃爆整个冬奥！为中国拿下77块金牌！却被国家队开除三次，这一幕让世界沸腾了，载入历史！#北京冬奥会#王濛#短道速滑#,萬歲！我大中華英雄兒女！萬歲！我大中華民族偉大復興！
今夜 这个女人燃爆整个冬奥！为中国拿下77块金牌！却被国家队开除三次，这一幕让世界沸腾了，载入历史！#北京冬奥会#王濛#短道速滑#,王蒙好丑男性.
今夜 这个女人燃爆整个冬奥！为中国拿下77块金牌！却被国家队开除三次，这一幕让世界沸腾了，载入历史！#北京冬奥会#王濛#短道速滑#,"叫做""小国""的话，大陆宽阔，叫做""大国""的话，人心狭窄，因此我们决定叫做""中国""。"
今夜 这个女人燃爆整个冬奥！为中国拿下77块金牌！却被国家队开除三次，这一幕让世界沸腾了，载入历史！#北京冬奥会#王濛#短道速滑#,不管是誰，不守規矩就得開！沒有紀律怎麼能戰勝自我？王濛不用說好樣的。但是不能捧殺，不然不會有向李琰那一跪！她自己都明白的事這裡還炒剩飯。還用“開除”這樣的標題？幾個意思！
今夜 这个女人燃爆整个冬奥！为中国拿下77块金牌！却被国家队开除三次，这一幕让世界沸腾了，载入历史！#北京冬奥会#王濛#短道速滑#,小中国，大美国。中国犯规是因为没有技术。
今夜 这个女人燃爆整个冬奥！为中国拿下77块金牌！却被国家队开除三次，这一幕让世界沸腾了，载入历史！#北京冬奥会#王濛#短道速滑#,你真的要那样做吗？中国真的很
今夜 这个女人燃爆整个冬奥！为中国拿下77块金牌！却被国家队开除三次，这一幕让世界沸腾了，载入历史！#北京冬奥会#王濛#短道速滑#,绝对是横扫的实力，就是东北人的暴脾气啊😂王濛成长了，祝一切安好！
今夜 这个女人燃爆整个冬奥！为中国拿下77块金牌！却被国家队开除三次，这一幕让世界沸腾了，载入历史！#北京冬奥会#王濛#短道速滑#,国家 体育 有墨，暗！！
今夜 这个女人燃爆整个冬奥！为中国拿下77块金牌！却被国家队开除三次，这一幕让世界沸腾了，载入历史！#北京冬奥会#王濛#短道速滑#,中国离体育强国还很遥远的啊！真是悲哀啊！经济全面开花 体育怎么就不能呢？悲哀啊！
今夜 这个女人燃爆整个冬奥！为中国拿下77块金牌！却被国家队开除三次，这一幕让世界沸腾了，载入历史！#北京冬奥会#王濛#短道速滑#,王夢沒有奧林匹克精神。
今夜 这个女人燃爆整个冬奥！为中国拿下77块金牌！却被国家队开除三次，这一幕让世界沸腾了，载入历史！#北京冬奥会#王濛#短道速滑#,王濛是传奇人物，可以拍电影了
今夜 这个女人燃爆整个冬奥！为中国拿下77块金牌！却被国家队开除三次，这一幕让世界沸腾了，载入历史！#北京冬奥会#王濛#短道速滑#,王濛不愧是世界一流的高手，更是全華人中國人的驕傲。
今夜 这个女人燃爆整个冬奥！为中国拿下77块金牌！却被国家队开除三次，这一幕让世界沸腾了，载入历史！#北京冬奥会#王濛#短道速滑#,好
今夜 这个女人燃爆整个冬奥！为中国拿下77块金牌！却被国家队开除三次，这一幕让世界沸腾了，载入历史！#北京冬奥会#王濛#短道速滑#,王濛中國之光，功夫不負有心人
今夜 这个女人燃爆整个冬奥！为中国拿下77块金牌！却被国家队开除三次，这一幕让世界沸腾了，载入历史！#北京冬奥会#王濛#短道速滑#,王濛中國之光，功夫不負有心人
今夜 这个女人燃爆整个冬奥！为中国拿下77块金牌！却被国家队开除三次，这一幕让世界沸腾了，载入历史！#北京冬奥会#王濛#短道速滑#,王濛中國之光，功夫不負有心人
