Video Caption,Comment
北京冬奧開幕式天上地下全是機器人！ 火炬傳遞現場這一幕看呆老外:這不是奧運 這是工業革命4.0！,以後，沒有國家要舉辦奧運了！沒得比啊！
北京冬奧開幕式天上地下全是機器人！ 火炬傳遞現場這一幕看呆老外:這不是奧運 這是工業革命4.0！,.....
北京冬奧開幕式天上地下全是機器人！ 火炬傳遞現場這一幕看呆老外:這不是奧運 這是工業革命4.0！,工业革命將席捲全球 中国遥遥领先 加油
北京冬奧開幕式天上地下全是機器人！ 火炬傳遞現場這一幕看呆老外:這不是奧運 這是工業革命4.0！,不是老外驚呆就是老外嚇傻⋯⋯有毛病的視頻！
北京冬奧開幕式天上地下全是機器人！ 火炬傳遞現場這一幕看呆老外:這不是奧運 這是工業革命4.0！,將來運動員也可能是機器人！
北京冬奧開幕式天上地下全是機器人！ 火炬傳遞現場這一幕看呆老外:這不是奧運 這是工業革命4.0！,科學強國！
北京冬奧開幕式天上地下全是機器人！ 火炬傳遞現場這一幕看呆老外:這不是奧運 這是工業革命4.0！,中国加油！我们不比白种人差！👏
北京冬奧開幕式天上地下全是機器人！ 火炬傳遞現場這一幕看呆老外:這不是奧運 這是工業革命4.0！,无人驾驶公交车的方向盘就那么暴露着吗？乘客可以随便上去开了？
北京冬奧開幕式天上地下全是機器人！ 火炬傳遞現場這一幕看呆老外:這不是奧運 這是工業革命4.0！,用冬奧加強科技應用比冬奧影響更長遠
北京冬奧開幕式天上地下全是機器人！ 火炬傳遞現場這一幕看呆老外:這不是奧運 這是工業革命4.0！,谢谢工作人员的辛勤付出！真棒！
北京冬奧開幕式天上地下全是機器人！ 火炬傳遞現場這一幕看呆老外:這不是奧運 這是工業革命4.0！,看到这么多摄像头，韩国队是不是有退赛的打算了？😂
北京冬奧開幕式天上地下全是機器人！ 火炬傳遞現場這一幕看呆老外:這不是奧運 這是工業革命4.0！,要用人民這麼多錢去辮這些門面事，但又得不到世人的讚嘆。真係強國人精神，自Hi！
北京冬奧開幕式天上地下全是機器人！ 火炬傳遞現場這一幕看呆老外:這不是奧運 這是工業革命4.0！,这不是强迫、剥削机器人劳动嘛，机权呢
北京冬奧開幕式天上地下全是機器人！ 火炬傳遞現場這一幕看呆老外:這不是奧運 這是工業革命4.0！,中國什麼無人駕駛，很快人都要失業了，感覺好像很高科技一樣，但人民福利方面提都沒提過，真是國家有錢，人民困苦😅😅
北京冬奧開幕式天上地下全是機器人！ 火炬傳遞現場這一幕看呆老外:這不是奧運 這是工業革命4.0！,"NBC的转播也说了，这个场地的地面都是巨大的LED显示屏。低调豪横啊！提供LED的商家是谁？你们的广告不赶快跟上吗？
这么一场没有独唱独舞、没有著名表演艺术家登场的开幕式美在哪里？我想到了以下几点：
春柳？I think those are not willow branches but grass.  
The ground started to thaw in southern China.  Grass woke up from hibernation and stretched out of the ground.  Peasants are buying seeds, germinating rice and other vegetables indoors, and getting their tractors ready for plowing.  From this day on, every 15 days is a solar term that is associated with different farming tasks in agricultural guidance books.  The Chinese calendar is a system based on solar + lunar astronomical study, that servers as a climatology guide to Chinese farmers.  Throughout Chinese dynasty history, the central government issued new calendar books every couple of decades to reflect the then most updated study of its astronomers, meteorologists and climatologists.  Harvests affect the stability and logistics in the days when transportation and world tread were not that strong.  The calendars are also issued to the vassal states.
From my perspective, who grew up in Beijing, grass represents the grass root ordinary and populous Chinese people, represents their growth and spreading all over the world in pursuit of better lives.
开幕草根舞，小民的人品、社会的导向。春草有梦，逐梦四方。鸽子的事吗，两岸的人都懂，对外不落把柄哦，举着和平鸽的小朋友嘛，多可爱！你们不能包容孩子队排得不整齐吗？队牌雪花环绕的火炬像窗花中间透出一盏油灯，像家在召唤。薪火相传、生生不息，求同存异、平等共存，文明的火种、希望的微光，共同守护寒夜的路标，不战之战、不王而王，大雅若俗、重剑无锋。昔看灯塔，今添微光。我的创意、你多了一种选择。有实力，无侵略性。不过度索取，但可以燎原。
看到那个ice breaking moment——激光制作的3D冰块被冰球打碎，实体的奥运五环破冰而出时，我流泪了。这是冬奥历史上的破冰时刻，是人类抗击新冠疫情的破冰时刻，是人类从恶性内斗走向共拓未来的破冰时刻。奥运不会停步、科技不会停步、历史不会停步。凡有不会的我们都有决心从头学。中国人的学习能力，地球人都清楚吧？没有什么封锁或壁垒是中国人不能打破的。我们愿意付代价打破坚冰，和世界各国一起，跨入一个多极合作的新时代。"
北京冬奧開幕式天上地下全是機器人！ 火炬傳遞現場這一幕看呆老外:這不是奧運 這是工業革命4.0！,"有幸置身在進步強大中國！
向偉大的共產黨致敬！🙇‍♀️🙇‍♀️"
北京冬奧開幕式天上地下全是機器人！ 火炬傳遞現場這一幕看呆老外:這不是奧運 這是工業革命4.0！,中國學校外語4、德語
北京冬奧開幕式天上地下全是機器人！ 火炬傳遞現場這一幕看呆老外:這不是奧運 這是工業革命4.0！,"老實說, 歐洲也有........沒什麼好吹噓........歐洲很多國家根本不必使用人去垃圾堆清垃圾和清潔公廁 , 全部是自動化的, 甚至不是什麼高科技 ! 一再吹噓自己高科技卻沒用最簡單的機械去做同一件事 ----- 電子用品永遠是最易壞 , 解決問題的方法是愈簡單的機械但深度設計和高質量才是皇道 !"
北京冬奧開幕式天上地下全是機器人！ 火炬傳遞現場這一幕看呆老外:這不是奧運 這是工業革命4.0！,"我顺利翻墙出来看冬奥了, 祖国好厉害啊(⊙o⊙)!"
北京冬奧開幕式天上地下全是機器人！ 火炬傳遞現場這一幕看呆老外:這不是奧運 這是工業革命4.0！,我们正在向世界展现一个强大、自信、友善的中国！
