Video Caption,Comment
高亭宇成为中国首个速度滑冰男子冬奥冠军,"本屆是歷史上爭議事件最多的冬季奧運
想必腔內全面封鎖這個消息吧！"
高亭宇成为中国首个速度滑冰男子冬奥冠军,Congratulations
高亭宇成为中国首个速度滑冰男子冬奥冠军,祝第一
高亭宇成为中国首个速度滑冰男子冬奥冠军,1，建议深圳罗湖火车站大规模地下扩建多层全国高铁始发终点深圳总站，方便发展新建设的用地下高铁红磡站、九龙塘站、沙田站、大埔站、上水站（高铁充分发挥地铁化站上兴建大规模商场和高层住宅城），到达深圳罗湖将实行一地两检。大陆全国每年亿计人来香港自由行，将带动深圳罗湖区发展成为超越东京核心区，香港国际第三大金融中心和深圳科技创新中心合作成为全球第一大都会。
高亭宇成为中国首个速度滑冰男子冬奥冠军,"1896年現代首屆奧運 100公尺賽跑 跑者有各種稀奇古怪的起跑姿勢
https://www.youtube.com/watch?v=IRTeOyf2KLI"
高亭宇成为中国首个速度滑冰男子冬奥冠军,牛！ 希望这是一个新时代的开始！
高亭宇成为中国首个速度滑冰男子冬奥冠军,fantastic .....
高亭宇成为中国首个速度滑冰男子冬奥冠军,最後の2組、動いてないのにフライング判定してたね。プレッシャー与えて中国選手に勝たせたかったんだよね。審判中国人だし。ショートトラック然り、こんな疑惑だらけのオリンピックも珍しいですね。
高亭宇成为中国首个速度滑冰男子冬奥冠军,中国雄起!!
高亭宇成为中国首个速度滑冰男子冬奥冠军,高亭宇👍👍👍👍👍👏👏👏👏👏
高亭宇成为中国首个速度滑冰男子冬奥冠军,"小高太厲害啦！為國爭光, 創造佳績！！"
高亭宇成为中国首个速度滑冰男子冬奥冠军,恭喜恭喜！！
高亭宇成为中国首个速度滑冰男子冬奥冠军,韩国人又开始作妖了，颁奖的时候，那个棒子扫了扫颁奖台。它是因为觉得大道速滑不公平吗？明明靠⏲，还是在为那些短道棒子打抱不平呢？真的这个国家有病。
高亭宇成为中国首个速度滑冰男子冬奥冠军,👍👍👍👍🇭🇰🇭🇰🇭🇰🇨🇳🇨🇳🇨🇳💪💪💪✌️✌️
高亭宇成为中国首个速度滑冰男子冬奥冠军,🎊🎊👍👍
高亭宇成为中国首个速度滑冰男子冬奥冠军,CONGRATULATIONS 󾓭👌👍
高亭宇成为中国首个速度滑冰男子冬奥冠军,corona China
高亭宇成为中国首个速度滑冰男子冬奥冠军,厲害
高亭宇成为中国首个速度滑冰男子冬奥冠军,用下三濫招
高亭宇成为中国首个速度滑冰男子冬奥冠军,台灣省民恭賀高亭宇選手勇奪冠軍，為祖國再下一面金牌！身為中國人，我與有榮焉深感榮耀，也祝所有祖國冬奧選手百尺竿頭更進一步，繼續締造佳績打破紀錄，更期待兩岸統一台灣回歸祖國之日能加速早日到來！！！
