Video Caption,Comment
北京冬奧2022：奧運「閉環」如何運轉？－ BBC News 中文,BBC陰間濾鏡.
北京冬奧2022：奧運「閉環」如何運轉？－ BBC News 中文,新疆模式👌😂
北京冬奧2022：奧運「閉環」如何運轉？－ BBC News 中文,没有人用枪逼着你们来，不爽可以不来，不是正好抵制么。 来了就别废话，叽叽哇哇有啥用
北京冬奧2022：奧運「閉環」如何運轉？－ BBC News 中文,有比比C这样的媒体提醒，中国会越来越好
北京冬奧2022：奧運「閉環」如何運轉？－ BBC News 中文,这个记者在BBC一定没什么前途了，音乐配的不够阴间，镜头要多拍拍围栏什么的，画面调色再暗一点。
北京冬奧2022：奧運「閉環」如何運轉？－ BBC News 中文,不得不说，同样在疫情下办奥运会比日本强多了
北京冬奧2022：奧運「閉環」如何運轉？－ BBC News 中文,今晚就开幕了，好期待😍😍
北京冬奧2022：奧運「閉環」如何運轉？－ BBC News 中文,这届冬奥会可能是赔钱赔的最厉害的。。。因为全是花钱，看不到回头钱
北京冬奧2022：奧運「閉環」如何運轉？－ BBC News 中文,"挑~~! 有錢搞冬奧做Show, 不如用來賠償武漢肺炎全世界損失啦! 無聊!!"
北京冬奧2022：奧運「閉環」如何運轉？－ BBC News 中文,泡泡是保護所有人的健康和安全，不爽可選擇不去！去了就廢話少説！
北京冬奧2022：奧運「閉環」如何運轉？－ BBC News 中文,忘不了bbc的大缺大德
北京冬奧2022：奧運「閉環」如何運轉？－ BBC News 中文,北京加油
北京冬奧2022：奧運「閉環」如何運轉？－ BBC News 中文,願北京冬奧會一切順利成功平安選手都能快快樂樂
北京冬奧2022：奧運「閉環」如何運轉？－ BBC News 中文,祝祖国更加繁荣昌盛
北京冬奧2022：奧運「閉環」如何運轉？－ BBC News 中文,之前看中国抵制这个洋货，抵制那个洋节的，结果这个再纯正不过的洋人大运动会倒是办得挺积极热烈的，怎么着！？抵制还分门别类不成吗！？真是TM的搞笑...
北京冬奧2022：奧運「閉環」如何運轉？－ BBC News 中文,没用阴间滤镜，这工资白拿了吧？
北京冬奧2022：奧運「閉環」如何運轉？－ BBC News 中文,funk BBC
北京冬奧2022：奧運「閉環」如何運轉？－ BBC News 中文,抵制北京冬奥会。
北京冬奧2022：奧運「閉環」如何運轉？－ BBC News 中文,西方国家外国敌对势力派出运动员投毒，武汉肺炎的我灭共变种病毒会在北京大爆发。
北京冬奧2022：奧運「閉環」如何運轉？－ BBC News 中文,使用慮鏡了嗎，我的BBC…
