Video Caption,Comment
国际赞助商全都拒绝撤离北京冬奥会，他们为何不怕在西方被报复【胡侃】,"把錢通通交給黨, 老胡你这样做了吗？老胡說話很容易，你繼續說那些愚蠢的廢話!"
国际赞助商全都拒绝撤离北京冬奥会，他们为何不怕在西方被报复【胡侃】,老虎这里评论比视频精彩
国际赞助商全都拒绝撤离北京冬奥会，他们为何不怕在西方被报复【胡侃】,有些讨厌胡锡进
国际赞助商全都拒绝撤离北京冬奥会，他们为何不怕在西方被报复【胡侃】,.「假使百千劫，所造業不亡；因緣會遇時，果報還自受」。「六道輪迴，苦海無邊」。「諸惡莫做，眾善奉行」，南無阿彌陀佛。
国际赞助商全都拒绝撤离北京冬奥会，他们为何不怕在西方被报复【胡侃】,偏颇，原因一，反华的事实不成立。二是中国市场和消费者是值得赞助商一搏。
国际赞助商全都拒绝撤离北京冬奥会，他们为何不怕在西方被报复【胡侃】,大咖吹牛逼之余请利用自身影响力关注一下徐州被拐卖妇女的事件并发声谢谢
国际赞助商全都拒绝撤离北京冬奥会，他们为何不怕在西方被报复【胡侃】,你信不信这个世界上有鬼门关阎王爷和地狱？昨天晚上我梦见你被拉到18成地狱被焚烧而且想死都死不了的那种。
国际赞助商全都拒绝撤离北京冬奥会，他们为何不怕在西方被报复【胡侃】,樓下這些翻牆一律舉報，黨有說你們可以翻牆嗎？請拿出證明
国际赞助商全都拒绝撤离北京冬奥会，他们为何不怕在西方被报复【胡侃】,老胡說話很容易，你繼續說那些愚蠢的廢話!
国际赞助商全都拒绝撤离北京冬奥会，他们为何不怕在西方被报复【胡侃】,"把錢通通交給黨, 老胡你这样做了吗？"
国际赞助商全都拒绝撤离北京冬奥会，他们为何不怕在西方被报复【胡侃】,逛街的时候，看到H&M还有众多反华平牌实体店，已经条件反射一般绕开着走了～
国际赞助商全都拒绝撤离北京冬奥会，他们为何不怕在西方被报复【胡侃】,所谓的议员也得恰赞助商这碗饭啊 互相制衡 谁也不会得罪谁  体育就是体育 非得和政治挂钩也只能是他们内心的臆想
国际赞助商全都拒绝撤离北京冬奥会，他们为何不怕在西方被报复【胡侃】,別傻了 不要跟美國吃土啃樹皮 有市場有錢賺 怎敢不來？
国际赞助商全都拒绝撤离北京冬奥会，他们为何不怕在西方被报复【胡侃】,因为赞助中国不会被西方人看作辱西www
国际赞助商全都拒绝撤离北京冬奥会，他们为何不怕在西方被报复【胡侃】,"台灣國國人，不會接受中共的統治!
一點不用懷疑!
台灣會時刻警惕，加強武備，連結盟國，
反擊中共的併吞!
不死不休!"
国际赞助商全都拒绝撤离北京冬奥会，他们为何不怕在西方被报复【胡侃】,"中國人才濟濟，但卻受到共產制度制約，
未來的路，不會平坦!
要怎麼走，中國人自己要選擇!"
国际赞助商全都拒绝撤离北京冬奥会，他们为何不怕在西方被报复【胡侃】,"台灣國人以一海島，實現全世界先進的電子技術，它是數十年的勤奮積累而來的!
台灣雖小，但影響力卻大!
中國雖大，但不能自大!"
国际赞助商全都拒绝撤离北京冬奥会，他们为何不怕在西方被报复【胡侃】,H&M在欧洲是最垃圾的服装牌子
国际赞助商全都拒绝撤离北京冬奥会，他们为何不怕在西方被报复【胡侃】,撤出中国还怎么赚钱啊？
国际赞助商全都拒绝撤离北京冬奥会，他们为何不怕在西方被报复【胡侃】,"不敢批評中國，畢竟國土太大，人口太多，治理起來會很不容易!
但總覺得，中國應該走向更民主化，更自由化!"
