Video Caption,Comment
冬奥会最无耻一幕！故意给中国队员完美一跳判低分，改判加拿大冠军的加拿大裁判，身份查清了！世界哗然，国际奥委会终于出手，把偷中国的金牌都还回来！#北京冬奥会#,都脫支了 支粉真是天天玻璃心
冬奥会最无耻一幕！故意给中国队员完美一跳判低分，改判加拿大冠军的加拿大裁判，身份查清了！世界哗然，国际奥委会终于出手，把偷中国的金牌都还回来！#北京冬奥会#,评论区居然还有傻子冷嘲热讽，不可理喻
冬奥会最无耻一幕！故意给中国队员完美一跳判低分，改判加拿大冠军的加拿大裁判，身份查清了！世界哗然，国际奥委会终于出手，把偷中国的金牌都还回来！#北京冬奥会#,以後比賽是否竟可能採用AI裁判 否則人類總有私心或有偏袒成分
冬奥会最无耻一幕！故意给中国队员完美一跳判低分，改判加拿大冠军的加拿大裁判，身份查清了！世界哗然，国际奥委会终于出手，把偷中国的金牌都还回来！#北京冬奥会#,总共9个裁判，难道都瞎眼了， 真是胡说八道
冬奥会最无耻一幕！故意给中国队员完美一跳判低分，改判加拿大冠军的加拿大裁判，身份查清了！世界哗然，国际奥委会终于出手，把偷中国的金牌都还回来！#北京冬奥会#,看标题兴冲冲的来，以为通过奥委会把这个不公平的裁决改正，金牌重回中国，看道结尾还是一声叹息，哪里有世界哗然，哪里有国际奥委会出手，哪里有把偷中国的金牌都还回来。你特么的不能好好写个标题吗？
冬奥会最无耻一幕！故意给中国队员完美一跳判低分，改判加拿大冠军的加拿大裁判，身份查清了！世界哗然，国际奥委会终于出手，把偷中国的金牌都还回来！#北京冬奥会#,中国奥组委为什么不敢据理力争。
冬奥会最无耻一幕！故意给中国队员完美一跳判低分，改判加拿大冠军的加拿大裁判，身份查清了！世界哗然，国际奥委会终于出手，把偷中国的金牌都还回来！#北京冬奥会#,必须严惩加拿大裁判，否则以后还有人敢胡作非为。
冬奥会最无耻一幕！故意给中国队员完美一跳判低分，改判加拿大冠军的加拿大裁判，身份查清了！世界哗然，国际奥委会终于出手，把偷中国的金牌都还回来！#北京冬奥会#,为什么奥主委不处理加拿大的裁判？
冬奥会最无耻一幕！故意给中国队员完美一跳判低分，改判加拿大冠军的加拿大裁判，身份查清了！世界哗然，国际奥委会终于出手，把偷中国的金牌都还回来！#北京冬奥会#,内容很精彩，不过你这标题党也很无耻！
冬奥会最无耻一幕！故意给中国队员完美一跳判低分，改判加拿大冠军的加拿大裁判，身份查清了！世界哗然，国际奥委会终于出手，把偷中国的金牌都还回来！#北京冬奥会#,只要是人打分的项目，我都不关心结果，心里都明白谁是冠军。
冬奥会最无耻一幕！故意给中国队员完美一跳判低分，改判加拿大冠军的加拿大裁判，身份查清了！世界哗然，国际奥委会终于出手，把偷中国的金牌都还回来！#北京冬奥会#,说的都是费话，如果四年后又遇到同样的情况又该如何？明知不公平为何不当即投诉……
冬奥会最无耻一幕！故意给中国队员完美一跳判低分，改判加拿大冠军的加拿大裁判，身份查清了！世界哗然，国际奥委会终于出手，把偷中国的金牌都还回来！#北京冬奥会#,裁判應掉消執照，因為不能公平公証！
冬奥会最无耻一幕！故意给中国队员完美一跳判低分，改判加拿大冠军的加拿大裁判，身份查清了！世界哗然，国际奥委会终于出手，把偷中国的金牌都还回来！#北京冬奥会#,這就是西方的卑鄙手段 以前資訊沒那麽發達 一直被掩蓋真面目
冬奥会最无耻一幕！故意给中国队员完美一跳判低分，改判加拿大冠军的加拿大裁判，身份查清了！世界哗然，国际奥委会终于出手，把偷中国的金牌都还回来！#北京冬奥会#,为什么还要加拿大人做裁判呢奥委会怎么就没有人公正无私判决呢？
冬奥会最无耻一幕！故意给中国队员完美一跳判低分，改判加拿大冠军的加拿大裁判，身份查清了！世界哗然，国际奥委会终于出手，把偷中国的金牌都还回来！#北京冬奥会#,中國人也太無恥了！
冬奥会最无耻一幕！故意给中国队员完美一跳判低分，改判加拿大冠军的加拿大裁判，身份查清了！世界哗然，国际奥委会终于出手，把偷中国的金牌都还回来！#北京冬奥会#,"這個新觀察的標題""世界嘩然,國際奧委會終於出手,把偷中國的金牌都還回來!""別把自己的意見當事實騙流量,這樣與壓分的裁判又有什麼區別! 蘇的表現有目共睹,世界自有公論"
冬奥会最无耻一幕！故意给中国队员完美一跳判低分，改判加拿大冠军的加拿大裁判，身份查清了！世界哗然，国际奥委会终于出手，把偷中国的金牌都还回来！#北京冬奥会#,下流的国家，下流的人格。
冬奥会最无耻一幕！故意给中国队员完美一跳判低分，改判加拿大冠军的加拿大裁判，身份查清了！世界哗然，国际奥委会终于出手，把偷中国的金牌都还回来！#北京冬奥会#,加拿大這樣喜歡金牌，倒不如係淘寶買一批送給他們。
冬奥会最无耻一幕！故意给中国队员完美一跳判低分，改判加拿大冠军的加拿大裁判，身份查清了！世界哗然，国际奥委会终于出手，把偷中国的金牌都还回来！#北京冬奥会#,加拿大人 ，不羞愧嗎！？
冬奥会最无耻一幕！故意给中国队员完美一跳判低分，改判加拿大冠军的加拿大裁判，身份查清了！世界哗然，国际奥委会终于出手，把偷中国的金牌都还回来！#北京冬奥会#,👀看來🤔中國應「培養各種類型的評判人才」，才可免其他國家的評判「帶政治意識/包庇自己國家的運動員」而令賽果不公平，因與其把「公平之手/眼/腦袋」交給別國(尤其是帶有優越感的白人主義的評判員)，反而「有自己國家的評判員參與評審」才可賽果來得公道些，正所謂「你無害人之心，難防別人有害你之嫌」。尾國也不是常用「害人之心」去度君子嗎？就因它的不斷「把自己的所思所想/所做」的「誣屈他國」，才達到它常用在國際間的「離間計」的成效。中國雖然是君子國，不屑如此做法，但行正路也要慎防「奸國」，除了訓練各式各樣運動員，也應訓練各類「取得國際承認的評判」。
