Video Caption,Comment
[冬奥新闻]外国运动员：豆包太香了 一天吃6个|体坛风云,别拿豆包不当干粮！
[冬奥新闻]外国运动员：豆包太香了 一天吃6个|体坛风云,太可爱了！
[冬奥新闻]外国运动员：豆包太香了 一天吃6个|体坛风云,很可爱啊 😉 一天6个不多。人家今年恐怕就只能吃两个礼拜的豆包，回去就吃不上了。红豆馅好像外国人都爱吃。
[冬奥新闻]外国运动员：豆包太香了 一天吃6个|体坛风云,就是中國人的待客之道：把好的東西拿出來招待客人：雖然不是在家裡，卻使客人有實至如歸之感
[冬奥新闻]外国运动员：豆包太香了 一天吃6个|体坛风云,豆沙包？
[冬奥新闻]外国运动员：豆包太香了 一天吃6个|体坛风云,💪💪💪👊👊👊💪💪💪👍👍👍💪💪💪  LOL
[冬奥新闻]外国运动员：豆包太香了 一天吃6个|体坛风云,"裡面包啥餡?
是肉包菜包還是豆沙包?"
[冬奥新闻]外国运动员：豆包太香了 一天吃6个|体坛风云,应该采访中国运动员同时也多采访外国选手，更加突显中国对奥林匹克精神的贯彻落实，对一些征战多年奥运的运动员给与一些纪念品，让更多人了解中国人的世界格局和大国气度
[冬奥新闻]外国运动员：豆包太香了 一天吃6个|体坛风云,太可爱了哈哈
[冬奥新闻]外国运动员：豆包太香了 一天吃6个|体坛风云,太可爱了吧！我也爱吃豆包！
[冬奥新闻]外国运动员：豆包太香了 一天吃6个|体坛风云,"yeah...red bean paste buns, yummy."
[冬奥新闻]外国运动员：豆包太香了 一天吃6个|体坛风云,She is so 😊
[冬奥新闻]外国运动员：豆包太香了 一天吃6个|体坛风云,很可爱的大姐。全世界都在看你吃豆包。哈哈
[冬奥新闻]外国运动员：豆包太香了 一天吃6个|体坛风云,好家伙，难得来一次，多吃点
[冬奥新闻]外国运动员：豆包太香了 一天吃6个|体坛风云,😂🤣
[冬奥新闻]外国运动员：豆包太香了 一天吃6个|体坛风云,可爱，这个小姐姐就是马耳他的刘长春
[冬奥新闻]外国运动员：豆包太香了 一天吃6个|体坛风云,太可愛了！
[冬奥新闻]外国运动员：豆包太香了 一天吃6个|体坛风云,咱们的运动员太幸福了
[冬奥新闻]外国运动员：豆包太香了 一天吃6个|体坛风云,cool .....
[冬奥新闻]外国运动员：豆包太香了 一天吃6个|体坛风云,So sweet and real!!!
