Video Caption,Comment
北京冬奥会火炬传递线路发布，机器人、自动驾驶技术融入传递场景 | CCTV 「一起向未来」20220121,看到祖国一天天强大，这也是我们在外华人的底气和骄傲
北京冬奥会火炬传递线路发布，机器人、自动驾驶技术融入传递场景 | CCTV 「一起向未来」20220121,👍👍👍👍👍👍💪💪💪💪💪💪
北京冬奥会火炬传递线路发布，机器人、自动驾驶技术融入传递场景 | CCTV 「一起向未来」20220121,我伟大的祖国  ，  加油  ！
北京冬奥会火炬传递线路发布，机器人、自动驾驶技术融入传递场景 | CCTV 「一起向未来」20220121,Amazing!
北京冬奥会火炬传递线路发布，机器人、自动驾驶技术融入传递场景 | CCTV 「一起向未来」20220121,㊗️偉大的祖國冬奧運動會圓滿成功！取得勝利！祖國昌盛繁榮！中國加油！
北京冬奥会火炬传递线路发布，机器人、自动驾驶技术融入传递场景 | CCTV 「一起向未来」20220121,谷爱凌的性格好阳光
北京冬奥会火炬传递线路发布，机器人、自动驾驶技术融入传递场景 | CCTV 「一起向未来」20220121,"Good Job and Support !   Bravo to China Rise Peacefully and be Strong ! !   Go China, Go ! ! !"
北京冬奥会火炬传递线路发布，机器人、自动驾驶技术融入传递场景 | CCTV 「一起向未来」20220121,祝福祖國冬奥成功举办
北京冬奥会火炬传递线路发布，机器人、自动驾驶技术融入传递场景 | CCTV 「一起向未来」20220121,祝祖國舉辦的冬奧會圓滿成功！
北京冬奥会火炬传递线路发布，机器人、自动驾驶技术融入传递场景 | CCTV 「一起向未来」20220121,Bbbbb
北京冬奥会火炬传递线路发布，机器人、自动驾驶技术融入传递场景 | CCTV 「一起向未来」20220121,祝賀北京冬奧運動會圓滿順利成功！👍👍💗💗😂💗💗🙏🙏💗💗👍👍
北京冬奥会火炬传递线路发布，机器人、自动驾驶技术融入传递场景 | CCTV 「一起向未来」20220121,中国加油
北京冬奥会火炬传递线路发布，机器人、自动驾驶技术融入传递场景 | CCTV 「一起向未来」20220121,预祝祖国主办冬奥会及残奥会圆满成功 😊😊😊
北京冬奥会火炬传递线路发布，机器人、自动驾驶技术融入传递场景 | CCTV 「一起向未来」20220121,Good Thanks
北京冬奥会火炬传递线路发布，机器人、自动驾驶技术融入传递场景 | CCTV 「一起向未来」20220121,北京冬奥会技术超级棒。赞赞赞赞赞。
北京冬奥会火炬传递线路发布，机器人、自动驾驶技术融入传递场景 | CCTV 「一起向未来」20220121,溫暖的中國，善良的中國人民，偉大的中國領航者-中國共產黨，我祝福我的祖國永遠繁榮昌盛。👍👍👍
北京冬奥会火炬传递线路发布，机器人、自动驾驶技术融入传递场景 | CCTV 「一起向未来」20220121,🇨🇳🇨🇳🇨🇳祖国加油💪💪💪
北京冬奥会火炬传递线路发布，机器人、自动驾驶技术融入传递场景 | CCTV 「一起向未来」20220121,谷愛凌加油，中國加油💪
北京冬奥会火炬传递线路发布，机器人、自动驾驶技术融入传递场景 | CCTV 「一起向未来」20220121,俄羅斯這次男女花式溜冰一定非常精彩 期待Kamila Valieva的演出 谷愛凌對帶動中國冰雪運動會有很大的激勵
北京冬奥会火炬传递线路发布，机器人、自动驾驶技术融入传递场景 | CCTV 「一起向未来」20220121,溫暖的中國，善良的中國人民，偉大的中國領航者-中國共產黨，我祝福我的祖國永遠繁榮昌盛。
