Video Caption,Comment
永别了！韩国！北京冬奥会宣布重大决定！国际奥委会都愣住了！全世界不敢相信！,"挑~~! 有錢搞冬奧做Show, 不如用來賠償武漢肺炎全世界損失啦! 無 聊!!"
永别了！韩国！北京冬奥会宣布重大决定！国际奥委会都愣住了！全世界不敢相信！,可以看看ins，拿犯规的真是丢面啊
永别了！韩国！北京冬奥会宣布重大决定！国际奥委会都愣住了！全世界不敢相信！,韩国青年看不清国际形势.他们这样做是自寻死路的。
永别了！韩国！北京冬奥会宣布重大决定！国际奥委会都愣住了！全世界不敢相信！,利刃加油，辛苦了。
永别了！韩国！北京冬奥会宣布重大决定！国际奥委会都愣住了！全世界不敢相信！,Who cares
永别了！韩国！北京冬奥会宣布重大决定！国际奥委会都愣住了！全世界不敢相信！,张作霖曾经有两个士兵被日本人打死了，结果张作霖给警卫队放半天假，让警卫队上街看到日本人就杀。虽然说新中国是法治社会，但是毛主席说过，打得一拳开免得百拳来
永别了！韩国！北京冬奥会宣布重大决定！国际奥委会都愣住了！全世界不敢相信！,南韓不作弊就啥都不會了！經濟要靠中國才有肉吃！全民自卑 全民整容 是“雙面人”！哈哈哈哈哈！
永别了！韩国！北京冬奥会宣布重大决定！国际奥委会都愣住了！全世界不敢相信！,一
永别了！韩国！北京冬奥会宣布重大决定！国际奥委会都愣住了！全世界不敢相信！,中國應幫助朝鮮半島早日統一了！
永别了！韩国！北京冬奥会宣布重大决定！国际奥委会都愣住了！全世界不敢相信！,中国應支持北韓统一韓固
永别了！韩国！北京冬奥会宣布重大决定！国际奥委会都愣住了！全世界不敢相信！,韓跟日世仇，怎麼會吃錯藥，找中國人的麻煩，混蛋，不敢仇日的一堆爛泥
永别了！韩国！北京冬奥会宣布重大决定！国际奥委会都愣住了！全世界不敢相信！,中国政府应该取消去韩国留学的签证因为韩国的工业水准还不如中国而且把在中国滞留着韩国人赶回韩国去. 不准韩国人滞留在中国.
