Video Caption,Comment
[2022 北京冬奧會成績] 第一天 - 中國一面金牌並列第三,"支持葉Sir👍👍👍💯
祝福您🍑身體健康🙏"
[2022 北京冬奧會成績] 第一天 - 中國一面金牌並列第三,SUPPORT DOG CHINA SHOW CHANNEL  !
[2022 北京冬奧會成績] 第一天 - 中國一面金牌並列第三,SUPPORT POLISHING THE TRUD CHANNEL  !
[2022 北京冬奧會成績] 第一天 - 中國一面金牌並列第三,SUPPORT LITHUANIA  !
[2022 北京冬奧會成績] 第一天 - 中國一面金牌並列第三,SUPPORT TAIWAN  !
[2022 北京冬奧會成績] 第一天 - 中國一面金牌並列第三,SUPPORT FREEDOM OF PRESS IN HONG KONG  !
[2022 北京冬奧會成績] 第一天 - 中國一面金牌並列第三,SUPPORT GERMANY FOREIGN MINISTER MISS ANNABELLE BAERBOCK  !
[2022 北京冬奧會成績] 第一天 - 中國一面金牌並列第三,SUPPORT NBA PLAYER ENES KANTER  !
[2022 北京冬奧會成績] 第一天 - 中國一面金牌並列第三,SUPPORT DEMOCRACY WESTERN COUNTRIES BOYCOTT ALL THE MADE IN XIN JIANG PRODUCTS  !
[2022 北京冬奧會成績] 第一天 - 中國一面金牌並列第三,SUPPORT CANADA BOYCOTT HAUWEI  !
[2022 北京冬奧會成績] 第一天 - 中國一面金牌並列第三,SUPPORT ALL THE FOREIGN INVESTORS AND COMPANY LEAVING THE COMMUNIST CHINA  !
[2022 北京冬奧會成績] 第一天 - 中國一面金牌並列第三,SUPPORT AMERICA BOYCOTT CHINA UNICOM  !
[2022 北京冬奧會成績] 第一天 - 中國一面金牌並列第三,BOYCOTT COMMUNIST CHINA BEIJING WINTER OLYMPICS  !
[2022 北京冬奧會成績] 第一天 - 中國一面金牌並列第三,"WHY AUSTRALIAN COMMUNIST CHINA LITTLE PINK DON'T CARE ABOUT THE VICTIMS OF THE HUMAN TRAFFICKING IN VILLAGES OF COMMUNIST CHINA  ?
MAYBE THEY SUPPORT THE VILLAGERS BUYING AND ABUSE THEIR WIVES IN COMMUNIST CHINA  !"
[2022 北京冬奧會成績] 第一天 - 中國一面金牌並列第三,"WHY AUSTRALIAN COMMUNIST CHINA LITTLE PINK DON'T CARE ABOUT THE UYGHUR TRIBUNAL  ?
IT IS BECAUSE THEY SUPPORT THE COMMUNIST CHINA CCP GOVERNMENT SUPPRESSING THE UYGHUR PEOPLE IN XIN JIANG  !"
[2022 北京冬奧會成績] 第一天 - 中國一面金牌並列第三,"WHY AUSTRALIAN COMMUNIST CHINA PINK DON'T CARE ABOUT THE PEOPLE SUFFERING FROM THE CITY LOCKDOWN IN COMMUNIST CHINA  ?
IT IS BECAUSE THEY SUPPORT THE COMMUNIST CHINA CCP GOVERNMENT SUPPRESSING THEIR CITIZENS IN CHINA  !"
[2022 北京冬奧會成績] 第一天 - 中國一面金牌並列第三,SUPPORT AUSTRALIA COTTON INDUSTRY  !
[2022 北京冬奧會成績] 第一天 - 中國一面金牌並列第三,SUPPORT AUSTRALIA PRIME MINISTER SCOTT MORRISON  !
[2022 北京冬奧會成績] 第一天 - 中國一面金牌並列第三,"foolish c kiloy,where are you ?"
[2022 北京冬奧會成績] 第一天 - 中國一面金牌並列第三,"美國速滑阻中國運動員前進犯規被取消資格，無緣晉決賽。前十三名榜上無名，記憶中奧運冬奧首日賽果中罕見，咎由自取。違規美選手在接受訪問時咀硬稱自己目光已在下一項賽事，全無歉意，這種態度恐怕仍會一直犯規！這次場館高科技將運動員動作無死角記錄，那些習慣使壞的將無所遁形！
感覺運動跟現實局勢很相似。美國習慣使下手的機會，恐怕一去不返了。"
