Video Caption,Comment
鸟瞰冬奥：夜航北京奥林匹克中心区 |《中国新闻》CCTV中文国际,扮奖中国冰糖葫芦
鸟瞰冬奥：夜航北京奥林匹克中心区 |《中国新闻》CCTV中文国际,直播频道怎么没了？
鸟瞰冬奥：夜航北京奥林匹克中心区 |《中国新闻》CCTV中文国际,海外华人祝愿祖国繁荣昌盛，祝北京冬奥会圆满成功
鸟瞰冬奥：夜航北京奥林匹克中心区 |《中国新闻》CCTV中文国际,开幕式真美！我爱你祖国！
鸟瞰冬奥：夜航北京奥林匹克中心区 |《中国新闻》CCTV中文国际,祖国我愛你
鸟瞰冬奥：夜航北京奥林匹克中心区 |《中国新闻》CCTV中文国际,大中華的驕傲 👍
鸟瞰冬奥：夜航北京奥林匹克中心区 |《中国新闻》CCTV中文国际,爱你中国!
鸟瞰冬奥：夜航北京奥林匹克中心区 |《中国新闻》CCTV中文国际,在海外的中国人祝祖国越来越好
鸟瞰冬奥：夜航北京奥林匹克中心区 |《中国新闻》CCTV中文国际,👍👍👍🙏🙏🙏
鸟瞰冬奥：夜航北京奥林匹克中心区 |《中国新闻》CCTV中文国际,祝福冬奧圓滿成功，感恩祖國中華民族復興，來自海外華人的感動。
鸟瞰冬奥：夜航北京奥林匹克中心区 |《中国新闻》CCTV中文国际,🐉🇨🇳💯🌈🌞💝💐💪👏👍🐼♥️🐅👑🐞🍀🍏🍎🙏😇💙🈵㊗️
鸟瞰冬奥：夜航北京奥林匹克中心区 |《中国新闻》CCTV中文国际,超炫的场馆，艺术美，科技含量高
鸟瞰冬奥：夜航北京奥林匹克中心区 |《中国新闻》CCTV中文国际,祝愿祖国繁荣昌盛
鸟瞰冬奥：夜航北京奥林匹克中心区 |《中国新闻》CCTV中文国际,祝北京冬奥圆满成功👍🏻👍🏻👍🏻
鸟瞰冬奥：夜航北京奥林匹克中心区 |《中国新闻》CCTV中文国际,我的国🇨🇳👍👍看得我热泪盈眶啊！
鸟瞰冬奥：夜航北京奥林匹克中心区 |《中国新闻》CCTV中文国际,最后聚集世界所有国家名字的雪花火炬台大牌子，中间点燃了一颗小小的火炬，让我瞬间泪目，这代表了全世界在抗击疫情的拼搏中始终让全世界仍然保持着最初始的希望火种，并冉冉升起形成象征，火炬看起来太小了，这跟巨大的雪花冰晶火炬牌形成了巨大对比，让人的心情瞬间百感交集无比激动，老谋子不按常理出牌，这应该是中国又一次世界的经典，会永远闪耀在世界奥林匹克历史的长河中，祝贺中国，强大中国
鸟瞰冬奥：夜航北京奥林匹克中心区 |《中国新闻》CCTV中文国际,愿強大的祖國更加繁荣富强，冬奥圆满成功🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳
鸟瞰冬奥：夜航北京奥林匹克中心区 |《中国新闻》CCTV中文国际,中国加油！
鸟瞰冬奥：夜航北京奥林匹克中心区 |《中国新闻》CCTV中文国际,冬奧在北京，科技在中國，世界強，中國一定強。
鸟瞰冬奥：夜航北京奥林匹克中心区 |《中国新闻》CCTV中文国际,深感自豪與驕傲!祖國加油
