Video Caption,Comment
2022北京冬奧｜直播｜開幕典禮 現場直擊｜北京冬奧2022,唱「一起來拐賣」!
2022北京冬奧｜直播｜開幕典禮 現場直擊｜北京冬奧2022,唱「一起來拐賣」!
2022北京冬奧｜直播｜開幕典禮 現場直擊｜北京冬奧2022,唱一首「一起拐賣婦女」，，，拐賣性侵業大国實至名歸唱一首「一起拐賣婦女」，，，拐賣性侵業大国實至名歸唱一首「一起拐賣婦女」，，，拐賣性侵業大国實至名歸
2022北京冬奧｜直播｜開幕典禮 現場直擊｜北京冬奧2022,唱一首「一起拐賣婦女」，，，拐賣性侵業大国實至名歸
2022北京冬奧｜直播｜開幕典禮 現場直擊｜北京冬奧2022,把，八孩鎖鏈母親滅口嗎？
2022北京冬奧｜直播｜開幕典禮 現場直擊｜北京冬奧2022,把，八孩鎖鏈母親滅口嗎？
2022北京冬奧｜直播｜開幕典禮 現場直擊｜北京冬奧2022,絕美的開幕式就給幾個無謂的解說員說得心煩，如果能關掉解說就更好了！
2022北京冬奧｜直播｜開幕典禮 現場直擊｜北京冬奧2022,有沒有人知道在香港怎麼看完整的賽事重播？
2022北京冬奧｜直播｜開幕典禮 現場直擊｜北京冬奧2022,循环雪花中🥰
2022北京冬奧｜直播｜開幕典禮 現場直擊｜北京冬奧2022,👍👍👍💖💖💖
2022北京冬奧｜直播｜開幕典禮 現場直擊｜北京冬奧2022,听不懂广东话😂
2022北京冬奧｜直播｜開幕典禮 現場直擊｜北京冬奧2022,完美，太好看了！
2022北京冬奧｜直播｜開幕典禮 現場直擊｜北京冬奧2022,100分的开幕式被一群不知所云呱噪的主持人毁了，知道你们早就拿到台本不要喋喋不休提前解说破坏仪式的惊喜，不要说些无用的，专注于解说开幕式背后的文化含义。这帮人最大的败笔就是不懂何时收声，何时合适地解说。
2022北京冬奧｜直播｜開幕典禮 現場直擊｜北京冬奧2022,旁述好差，長氣講唔斷氣，阻住成個表演，請將旁述的份量減9成。有時間請再睇一次清淨版既開幕作對比，沒有旁述，你會發覺整個表演提升很多
2022北京冬奧｜直播｜開幕典禮 現場直擊｜北京冬奧2022,有知道在《致敬人民》篇章的歌曲是什麼歌名吗？
2022北京冬奧｜直播｜開幕典禮 現場直擊｜北京冬奧2022,看到56个民族传递国旗时，不禁热泪盈眶。
2022北京冬奧｜直播｜開幕典禮 現場直擊｜北京冬奧2022,👍
2022北京冬奧｜直播｜開幕典禮 現場直擊｜北京冬奧2022,⁰
2022北京冬奧｜直播｜開幕典禮 現場直擊｜北京冬奧2022,主持人的解说真的又臭又吵
2022北京冬奧｜直播｜開幕典禮 現場直擊｜北京冬奧2022,"唱雪花時d主持係咁讲野,好煩呀!阻住我聽歌!!! 唔該闭幕礼叫佢地收聲!"
