Video Caption,Comment
【短片】【細緻入微】選手外媒齊讚冬奧新科技! 美國雪橇選手薩默・布里徹：床鋪零重力模式令人震驚、外媒：媒體中心餐廳機械化是革命性突破！,"中華人民共和國以中國身位參加奧運、單李寧在1984年、洛杉矶奥运会夺得3金、2银、1铜。
中華民國起1924-1972(48年)代表中國參加奧運
共奪得1銀(楊傳廣)、1銅(紀政)。"
【短片】【細緻入微】選手外媒齊讚冬奧新科技! 美國雪橇選手薩默・布里徹：床鋪零重力模式令人震驚、外媒：媒體中心餐廳機械化是革命性突破！,原來之前的機械人餐廳是試點，牛！好想回國內呀～～
【短片】【細緻入微】選手外媒齊讚冬奧新科技! 美國雪橇選手薩默・布里徹：床鋪零重力模式令人震驚、外媒：媒體中心餐廳機械化是革命性突破！,床算不上高科技吧。中国很多家庭有老人或病人的家庭，很多多配置这样的床。因为要考虑残奥会，为方便可能才设置这样的床，批量生产，就多一个电机和遥控的钱，成本也高不到那里去。
【短片】【細緻入微】選手外媒齊讚冬奧新科技! 美國雪橇選手薩默・布里徹：床鋪零重力模式令人震驚、外媒：媒體中心餐廳機械化是革命性突破！,Super China 👍👍👍👍👍🇨🇳
【短片】【細緻入微】選手外媒齊讚冬奧新科技! 美國雪橇選手薩默・布里徹：床鋪零重力模式令人震驚、外媒：媒體中心餐廳機械化是革命性突破！,所以中國根本不用強迫人去努動，大把機械幫手😂
【短片】【細緻入微】選手外媒齊讚冬奧新科技! 美國雪橇選手薩默・布里徹：床鋪零重力模式令人震驚、外媒：媒體中心餐廳機械化是革命性突破！,为祖国感到无比骄傲
【短片】【細緻入微】選手外媒齊讚冬奧新科技! 美國雪橇選手薩默・布里徹：床鋪零重力模式令人震驚、外媒：媒體中心餐廳機械化是革命性突破！,強大
【短片】【細緻入微】選手外媒齊讚冬奧新科技! 美國雪橇選手薩默・布里徹：床鋪零重力模式令人震驚、外媒：媒體中心餐廳機械化是革命性突破！,寧予友邦，不予家奴。處處鋪張浪費，離真正的奧運精神卻越來越遠。
【短片】【細緻入微】選手外媒齊讚冬奧新科技! 美國雪橇選手薩默・布里徹：床鋪零重力模式令人震驚、外媒：媒體中心餐廳機械化是革命性突破！,👍👍👍👍👍👏👏👏👏👏
【短片】【細緻入微】選手外媒齊讚冬奧新科技! 美國雪橇選手薩默・布里徹：床鋪零重力模式令人震驚、外媒：媒體中心餐廳機械化是革命性突破！,好犀利喎，使既錢邊度黎，真豪呢個世界第一冇人敢爭
【短片】【細緻入微】選手外媒齊讚冬奧新科技! 美國雪橇選手薩默・布里徹：床鋪零重力模式令人震驚、外媒：媒體中心餐廳機械化是革命性突破！,宁与友邦，不与家奴
【短片】【細緻入微】選手外媒齊讚冬奧新科技! 美國雪橇選手薩默・布里徹：床鋪零重力模式令人震驚、外媒：媒體中心餐廳機械化是革命性突破！,中國其實好先進，可惜D人民走錯方去 ! 靠呃搵食 !
【短片】【細緻入微】選手外媒齊讚冬奧新科技! 美國雪橇選手薩默・布里徹：床鋪零重力模式令人震驚、外媒：媒體中心餐廳機械化是革命性突破！,有中國身份證嘅人手一張智能床啊 唔好外國運動員有 自己友無
【短片】【細緻入微】選手外媒齊讚冬奧新科技! 美國雪橇選手薩默・布里徹：床鋪零重力模式令人震驚、外媒：媒體中心餐廳機械化是革命性突破！,弯弯人和黄明志和陈大姐表示很不爽。怎么可以盖过我玻璃心的风头。
【短片】【細緻入微】選手外媒齊讚冬奧新科技! 美國雪橇選手薩默・布里徹：床鋪零重力模式令人震驚、外媒：媒體中心餐廳機械化是革命性突破！,不容抹黑！
【短片】【細緻入微】選手外媒齊讚冬奧新科技! 美國雪橇選手薩默・布里徹：床鋪零重力模式令人震驚、外媒：媒體中心餐廳機械化是革命性突破！,有屁用咩，播毒全球的元兇，，正仆街
【短片】【細緻入微】選手外媒齊讚冬奧新科技! 美國雪橇選手薩默・布里徹：床鋪零重力模式令人震驚、外媒：媒體中心餐廳機械化是革命性突破！,赞赞👍
【短片】【細緻入微】選手外媒齊讚冬奧新科技! 美國雪橇選手薩默・布里徹：床鋪零重力模式令人震驚、外媒：媒體中心餐廳機械化是革命性突破！,床鋪被都可能是用新疆绵。。。哈哈哈哈….
【短片】【細緻入微】選手外媒齊讚冬奧新科技! 美國雪橇選手薩默・布里徹：床鋪零重力模式令人震驚、外媒：媒體中心餐廳機械化是革命性突破！,有錢就什麼都可以，日本人就是窮。
【短片】【細緻入微】選手外媒齊讚冬奧新科技! 美國雪橇選手薩默・布里徹：床鋪零重力模式令人震驚、外媒：媒體中心餐廳機械化是革命性突破！,國力，財力，日本是不可以比，日本怕虧損怎樣可以辨好奥運。
