Video Caption,Comment
韩国队清空冬奥村餐厅西瓜？日本选手不能忍了！,呵呵。爱吃就待着吧。能吃多少
韩国队清空冬奥村餐厅西瓜？日本选手不能忍了！,到我大华夏抱怨吃的？怕是你连吃字怎么写都不知道吧。
韩国队清空冬奥村餐厅西瓜？日本选手不能忍了！,不要自满！经不起批评
韩国队清空冬奥村餐厅西瓜？日本选手不能忍了！,韓國: 西瓜韓國的
韩国队清空冬奥村餐厅西瓜？日本选手不能忍了！,小樱花小樱花，开开心心去拿瓜，看见西八偷西瓜，樱花拍照笑西八
韩国队清空冬奥村餐厅西瓜？日本选手不能忍了！,Stinky Kimchi is at it again! 🤭👈
韩国队清空冬奥村餐厅西瓜？日本选手不能忍了！,韩国的水果很贵，尤其是香蕉和西瓜。在中国买西瓜按个，韩国是按块，非常贵。不过他们香蕉按个卖。
韩国队清空冬奥村餐厅西瓜？日本选手不能忍了！,請不要報導這些無聊的話題，人家能吃就吃！
韩国队清空冬奥村餐厅西瓜？日本选手不能忍了！,The South Korean player stole watermelon and was reported by the Japanese player
韩国队清空冬奥村餐厅西瓜？日本选手不能忍了！,其实你吃就吃吧，不喜欢肉就吃炒菜，沙拉，水果，西餐，啥都有，默默吃就好了，也没人怕你吃多，非要耍嘴瘾说不好吃，现在好了吧，吃什么都得偷着吃，没人想攻击你，你倒看自己不顺眼
韩国队清空冬奥村餐厅西瓜？日本选手不能忍了！,"打南边来了个西八，手里提溜着五斤西瓜。
打北边来了个八嘎，因为西八没得吃西瓜。
想吃西瓜的八嘎让拿着西瓜的西八放下几斤西瓜。
拿着西瓜的西八不愿给没吃西瓜的八嘎几斤西瓜。
不知是没吃西瓜的八嘎给了提着西瓜的西八一巴掌。
还是提着西瓜的西八给了没吃西瓜的八嘎一西瓜。
西八回家吭哧吭哧吃西瓜，八嘎回家唧唧哇哇骂西八！​"
韩国队清空冬奥村餐厅西瓜？日本选手不能忍了！,中国人的吃德全世界谁不知道。
韩国队清空冬奥村餐厅西瓜？日本选手不能忍了！,五十六个闰土，五十六只猹，五十六个韩国西八偷西瓜……五十六把钢叉，汇成一句话：叫你偷瓜叫你偷瓜叫你偷瓜！
韩国队清空冬奥村餐厅西瓜？日本选手不能忍了！,日本選手 做得非常之好 揭穿 韓國 人 真面目 世界人看到
韩国队清空冬奥村餐厅西瓜？日本选手不能忍了！,its because the food quality was that bad that they would rather eat fruits instead of actual food
韩国队清空冬奥村餐厅西瓜？日本选手不能忍了！,我一直认为韩国大部分人都是脑残西西的
