Video Caption,Comment
【看北京冬奥会的场馆】პეკინის ოლიმპიადა - 开始明白中国为什么发展得那么好,宿舍漏水了…
【看北京冬奥会的场馆】პეკინის ოლიმპიადა - 开始明白中国为什么发展得那么好,"很""节約“的冬运"
【看北京冬奥会的场馆】პეკინის ოლიმპიადა - 开始明白中国为什么发展得那么好,真正的中国你不了解那是表面
【看北京冬奥会的场馆】პეკინის ოლიმპიადა - 开始明白中国为什么发展得那么好,是！ 惊的不公正！ 那么想得到金牌吗？ 用不公正的评分得到的金牌那么快乐吗？ 中国人民是好，但中国政府真差劲。
【看北京冬奥会的场馆】პეკინის ოლიმპიადა - 开始明白中国为什么发展得那么好,Love it.
【看北京冬奥会的场馆】პეკინის ოლიმპიადა - 开始明白中国为什么发展得那么好,這是假的，都是為了國家面子
【看北京冬奥会的场馆】პეკინის ოლიმპიადა - 开始明白中国为什么发展得那么好,把中国想象成前苏联或者现在的俄罗斯，我看你还觉得好吗？
【看北京冬奥会的场馆】პეკინის ოლიმპიადა - 开始明白中国为什么发展得那么好,我就沒弄明白，奴役十四億人民，抽十四億人民的血，花上萬億代價做的這場冬奧秀有什麼值得自豪的？
【看北京冬奥会的场馆】პეკინის ოლიმპიადა - 开始明白中国为什么发展得那么好,哈哈哈哈，白人讲好中国故事，收入不菲哟 🧧🧧🧧
【看北京冬奥会的场馆】პეკინის ოლიმპიადა - 开始明白中国为什么发展得那么好,"There is no competition and with appropriate humility, we Chinese would continue treating other countries with respect. But we expect the same attitude from people of other countries. We have our unique culture and value. We hate fake news against China and unreasonable criticisms. We Chinese would use our best endeavour to keep our promises to the world."
【看北京冬奥会的场馆】პეკინის ოლიმპიადა - 开始明白中国为什么发展得那么好,要翻墙把这个伟大中国东傲运动馆视屏弄给我们墙外人看也不容易。
【看北京冬奥会的场馆】პეკინის ოლიმპიადა - 开始明白中国为什么发展得那么好,谁有那闲心去管心这些。疫情给老百姓打击不是鸡血能治愈的。
【看北京冬奥会的场馆】პეკინის ოლიმპიადა - 开始明白中国为什么发展得那么好,必须滴！
【看北京冬奥会的场馆】პეკინის ოლიმპიადა - 开始明白中国为什么发展得那么好,帮我代买个冰墩墩(˶‾᷄ ⁻̫ ‾᷅˵)
【看北京冬奥会的场馆】პეკინის ოლიმპიადა - 开始明白中国为什么发展得那么好,一切都是假的.... 共产党制造的一场虚幻的闹剧，欺骗全世界人。一场冬奥会让让这些假象暴露在世人面前，真是给中国人丢人啊！中国老百姓什么时候能站起来，过有尊严有体面的生活！
【看北京冬奥会的场馆】პეკინის ოლიმპიადა - 开始明白中国为什么发展得那么好,"1秒钟前
中国很强大，做利国利民的好事，人民会双手赞成。不学做些外面光，里面肮脏不堪的事.那还不如长眠，即丢人丢钱丢……."
【看北京冬奥会的场馆】პეკინის ოლიმპიადა - 开始明白中国为什么发展得那么好,"To my suprise is that chinese people get them developed, tall builings, wide roads,and enthusiastic people. we all cheated by medias like  bbc.Thank you for showing us this fantastic video"
【看北京冬奥会的场馆】პეკინის ოლიმპიადა - 开始明白中国为什么发展得那么好,一场丢人现眼的冬奥闹剧，奴役十四亿人用上万亿美元代价换取了这样一场闹剧。去盖特看看冬奥闹剧的真相吧……
【看北京冬奥会的场馆】პეკინის ოლიმპიადა - 开始明白中国为什么发展得那么好,共产党，你完球蛋了
【看北京冬奥会的场馆】პეკინის ოლიმპიადა - 开始明白中国为什么发展得那么好,共产党，谎言虚假做成的纸老虎
