Video Caption,Comment
678道特色菜！北京冬奥村运动员食堂首次开餐 品种多味道好 |《中国新闻》CCTV中文国际,就是中國人的待客之道：把好的東西拿出來招待客人：雖然不是在家裡，卻使客人有實至如歸之感
678道特色菜！北京冬奥村运动员食堂首次开餐 品种多味道好 |《中国新闻》CCTV中文国际,居然现场一个老外都没看到。
678道特色菜！北京冬奥村运动员食堂首次开餐 品种多味道好 |《中国新闻》CCTV中文国际,亲临的人有福了
678道特色菜！北京冬奥村运动员食堂首次开餐 品种多味道好 |《中国新闻》CCTV中文国际,祝贺我的祖国！💪
678道特色菜！北京冬奥村运动员食堂首次开餐 品种多味道好 |《中国新闻》CCTV中文国际,羡慕吗？今天的冬奥会也就中国能办的起来，办的超好！不服不行呀！
678道特色菜！北京冬奥村运动员食堂首次开餐 品种多味道好 |《中国新闻》CCTV中文国际,"營養豐富，
菜色齊全，讚！"
678道特色菜！北京冬奥村运动员食堂首次开餐 品种多味道好 |《中国新闻》CCTV中文国际,"中国的冬奥会很棒，很震撼，很强大！很厉害！很酷！中国加油！🇨🇳🇨🇳🇨🇳
来自马来西亚的祝福🇲🇾"
678道特色菜！北京冬奥村运动员食堂首次开餐 品种多味道好 |《中国新闻》CCTV中文国际,❤️❤️❤️🤟🤟🤟👍👍👍
678道特色菜！北京冬奥村运动员食堂首次开餐 品种多味道好 |《中国新闻》CCTV中文国际,Good good
678道特色菜！北京冬奥村运动员食堂首次开餐 品种多味道好 |《中国新闻》CCTV中文国际,💪💪💪👊👊👊💪💪💪👍👍👍💪💪💪
678道特色菜！北京冬奥村运动员食堂首次开餐 品种多味道好 |《中国新闻》CCTV中文国际,好好喔！但要惜福啦！
678道特色菜！北京冬奥村运动员食堂首次开餐 品种多味道好 |《中国新闻》CCTV中文国际,食堂要不要志愿者啊？  馋。。。。
