Video Caption,Comment
220209 -1【北京冬奥会】【北京大妞谷爱凌舌战刁钻记者（口才好生了得）】【巴赫打卡冬奥村网红餐厅，抱怨长胖了】【寒梅视角】,问问那些得意的美国人，看看他们的历史有什么可值得骄傲的，上至总统下至那些移民者，都是烧杀劫掠的掠夺者，能实告他们的后代子孙吗？美国的先进技术都来自世界科技的掠夺，不是吗？这样的美国能教育出的都是利字当头的利己主义者！无论去哪里都是的，好吗？
220209 -1【北京冬奥会】【北京大妞谷爱凌舌战刁钻记者（口才好生了得）】【巴赫打卡冬奥村网红餐厅，抱怨长胖了】【寒梅视角】,中國共妻世界第一
220209 -1【北京冬奥会】【北京大妞谷爱凌舌战刁钻记者（口才好生了得）】【巴赫打卡冬奥村网红餐厅，抱怨长胖了】【寒梅视角】,"外國人的·
文化是最低價值的。"
220209 -1【北京冬奥会】【北京大妞谷爱凌舌战刁钻记者（口才好生了得）】【巴赫打卡冬奥村网红餐厅，抱怨长胖了】【寒梅视角】,一个假面孔的中国人，为何这些混帐播主整天播报？用意何在？这些真正的国人付出艰辛的努力不见这些混帐播主这么用心，当你家的祖奶奶这么吹棒。
220209 -1【北京冬奥会】【北京大妞谷爱凌舌战刁钻记者（口才好生了得）】【巴赫打卡冬奥村网红餐厅，抱怨长胖了】【寒梅视角】,那个明星餐厅是机器人餐厅。
220209 -1【北京冬奥会】【北京大妞谷爱凌舌战刁钻记者（口才好生了得）】【巴赫打卡冬奥村网红餐厅，抱怨长胖了】【寒梅视角】,💯✌👍👏
220209 -1【北京冬奥会】【北京大妞谷爱凌舌战刁钻记者（口才好生了得）】【巴赫打卡冬奥村网红餐厅，抱怨长胖了】【寒梅视角】,寒梅少姐❤️❤️❤️爱我中华民族伟大复兴加油💪
220209 -1【北京冬奥会】【北京大妞谷爱凌舌战刁钻记者（口才好生了得）】【巴赫打卡冬奥村网红餐厅，抱怨长胖了】【寒梅视角】,寒梅给你點赞！
220209 -1【北京冬奥会】【北京大妞谷爱凌舌战刁钻记者（口才好生了得）】【巴赫打卡冬奥村网红餐厅，抱怨长胖了】【寒梅视角】,寒梅 建议你去看国内的一档节目叫《我的时代和我》，里面有一期是谷爱凌专辑(去年出的)，我就是看了那期节目一下子就喜欢上谷爱凌的。
220209 -1【北京冬奥会】【北京大妞谷爱凌舌战刁钻记者（口才好生了得）】【巴赫打卡冬奥村网红餐厅，抱怨长胖了】【寒梅视角】,捧杀的毒鸡汤，你有中国国籍吗
220209 -1【北京冬奥会】【北京大妞谷爱凌舌战刁钻记者（口才好生了得）】【巴赫打卡冬奥村网红餐厅，抱怨长胖了】【寒梅视角】,奥运村的食品种类一定有泡菜的，棒子就是吃饱了撑的，输急眼了，拉不出来屎怪茅房！甭搭理他！
220209 -1【北京冬奥会】【北京大妞谷爱凌舌战刁钻记者（口才好生了得）】【巴赫打卡冬奥村网红餐厅，抱怨长胖了】【寒梅视角】,我每天都會看寒梅視頻，點讚，。因為我喜歡 聽她講的都是實話
220209 -1【北京冬奥会】【北京大妞谷爱凌舌战刁钻记者（口才好生了得）】【巴赫打卡冬奥村网红餐厅，抱怨长胖了】【寒梅视角】,梅姐说什么场景的时候都没有相应的画面或是视屏，显得很干巴巴的，既没有说服力，也不生动，我已经提了两次建议了，是技术不行吗？希望能够改进一下！
220209 -1【北京冬奥会】【北京大妞谷爱凌舌战刁钻记者（口才好生了得）】【巴赫打卡冬奥村网红餐厅，抱怨长胖了】【寒梅视角】,以前西方常標鎊民主，說什麼科學、運動'無國界，當今天美國不自信時就攻擊谷愛凌朱易，你老美有多少華人科學家學者運動員啊！難看死了！
220209 -1【北京冬奥会】【北京大妞谷爱凌舌战刁钻记者（口才好生了得）】【巴赫打卡冬奥村网红餐厅，抱怨长胖了】【寒梅视角】,永不言休。
220209 -1【北京冬奥会】【北京大妞谷爱凌舌战刁钻记者（口才好生了得）】【巴赫打卡冬奥村网红餐厅，抱怨长胖了】【寒梅视角】,👍👍👍👍👍
220209 -1【北京冬奥会】【北京大妞谷爱凌舌战刁钻记者（口才好生了得）】【巴赫打卡冬奥村网红餐厅，抱怨长胖了】【寒梅视角】,支持梅姐！支持超级自信可爱的中国姑娘谷爰凌！
220209 -1【北京冬奥会】【北京大妞谷爱凌舌战刁钻记者（口才好生了得）】【巴赫打卡冬奥村网红餐厅，抱怨长胖了】【寒梅视角】,寒梅你别笑，上次军奥美国队就没拿什么奖牌，就不是冲奖牌来的
220209 -1【北京冬奥会】【北京大妞谷爱凌舌战刁钻记者（口才好生了得）】【巴赫打卡冬奥村网红餐厅，抱怨长胖了】【寒梅视角】,请寒梅称呼习主席，谢谢。
